會員編號,性別,年齡,加入月數,來店次數,平均消費,距上次來店天數,會員等級,電子報,住家距離,最愛類別
M2234,女,58,8,5,94,7,銀卡,1,2.8,咖啡
M2235,男,39,25,9,159,10,銀卡,1,3.4,咖啡
M2236,女,55,34,5,265,10,銀卡,1,2.2,咖啡
M2237,女,40,6,5,165,40,銀卡,1,1.6,咖啡
M2238,女,52,6,4,77,14,一般,0,3.0,茶飲
M2239,女,51,24,5,133,65,銀卡,0,4.1,烘焙
M2240,女,50,24,5,208,50,銀卡,1,1.5,烘焙
M2241,男,48,26,4,264,34,一般,1,11.5,茶飲
M2242,男,55,10,15,145,4,銀卡,0,14.5,咖啡
M2243,男,67,24,8,208,1,銀卡,1,4.0,咖啡
M2244,男,55,18,6,134,44,銀卡,0,1.9,茶飲
M2245,女,37,18,2,148,90,一般,0,1.1,烘焙
M2246,男,64,6,7,184,23,銀卡,1,0.9,咖啡
M2247,女,62,10,9,179,17,銀卡,1,1.6,茶飲
M2248,女,50,9,8,185,6,銀卡,0,1.8,烘焙
M2249,女,57,19,14,163,3,金卡,0,3.6,咖啡
M2250,男,34,28,6,113,14,銀卡,1,5.3,烘焙
M2251,男,50,36,12,180,16,金卡,0,4.3,咖啡
M2252,女,57,10,4,268,7,一般,0,2.5,咖啡
M2253,女,44,30,14,211,4,金卡,1,3.8,咖啡
M2254,男,55,20,12,135,16,金卡,1,3.8,咖啡
M2255,女,55,34,20,93,11,金卡,1,6.2,咖啡
M2256,男,60,12,2,154,28,一般,1,5.1,茶飲
M2257,男,62,26,5,134,20,銀卡,0,3.5,咖啡
M2258,女,65,28,8,192,0,銀卡,1,1.4,咖啡
M2259,男,52,31,9,243,7,銀卡,0,1.2,咖啡
M2260,男,55,11,10,126,9,銀卡,0,4.3,咖啡
M2261,女,60,15,18,186,0,銀卡,0,4.1,烘焙
M2262,男,49,20,2,142,45,一般,1,2.5,咖啡
M2263,男,49,4,7,197,23,一般,1,4.9,烘焙
M2264,女,72,7,1,178,71,一般,1,5.9,烘焙
M2265,男,68,6,6,201,0,銀卡,1,5.8,茶飲
M2266,女,46,19,2,154,62,一般,1,1.0,咖啡
M2267,女,53,9,6,210,3,銀卡,1,0.9,咖啡
M2268,女,47,2,8,240,13,一般,0,2.5,咖啡
M2269,女,52,10,1,242,51,一般,1,2.1,茶飲
M2270,男,49,23,11,125,15,銀卡,0,4.1,咖啡
M2271,女,62,30,3,143,39,一般,0,9.8,烘焙
M2272,男,59,15,10,220,13,銀卡,0,2.5,烘焙
M2273,女,57,6,6,223,15,銀卡,1,1.1,咖啡
M2274,男,61,17,5,372,60,銀卡,1,1.7,咖啡
M2275,女,56,6,6,170,15,銀卡,1,1.1,烘焙
M2276,男,54,6,7,168,9,銀卡,1,3.2,咖啡
M2277,女,72,14,2,110,5,一般,1,6.8,咖啡
M2278,女,59,22,9,109,8,銀卡,1,0.6,咖啡
M2279,女,64,9,8,172,6,銀卡,1,0.5,茶飲
M2280,男,46,19,3,182,21,一般,0,3.7,茶飲
M2281,女,43,17,14,187,13,銀卡,1,1.8,咖啡
M2282,男,50,32,1,221,33,一般,0,9.5,咖啡
M2283,男,53,26,13,195,0,金卡,1,2.7,茶飲
M2284,女,52,31,9,137,6,銀卡,0,0.7,咖啡
M2285,女,49,11,12,272,11,銀卡,0,1.8,咖啡
M2286,男,52,16,5,114,7,銀卡,0,4.0,咖啡
M2287,男,65,1,4,206,44,一般,0,0.7,茶飲
M2288,女,51,6,6,180,1,銀卡,0,7.5,咖啡
M2289,女,45,7,12,223,3,銀卡,1,4.0,咖啡
M2290,女,67,18,4,172,2,一般,0,1.1,茶飲
M2291,女,46,34,8,289,0,銀卡,1,3.8,烘焙
M2292,男,42,15,6,110,18,銀卡,0,2.4,茶飲
M2293,男,42,32,3,166,27,一般,0,5.7,咖啡
M2294,男,58,15,26,139,14,銀卡,1,0.8,烘焙
M2295,女,72,29,3,146,7,一般,0,3.0,茶飲
M2296,男,57,14,11,202,19,銀卡,0,4.9,咖啡
M2297,男,69,22,9,243,20,銀卡,1,1.3,咖啡
M2298,男,43,25,7,231,13,銀卡,0,1.2,咖啡
M2299,女,49,9,8,120,22,銀卡,0,3.1,茶飲
M2300,女,72,28,3,207,32,一般,1,3.1,茶飲
M2301,男,45,16,11,104,1,銀卡,0,1.3,烘焙
M2302,男,44,34,8,184,41,銀卡,1,1.4,茶飲
M2303,男,53,24,7,147,48,銀卡,1,2.7,咖啡
M2304,男,45,23,10,192,7,銀卡,0,2.5,茶飲
M2305,女,60,6,10,210,42,銀卡,0,4.2,烘焙
M2306,男,62,36,3,249,22,一般,1,5.6,烘焙
M2307,女,55,22,2,202,0,一般,1,0.8,烘焙
M2308,女,56,35,13,113,9,金卡,0,0.8,咖啡
M2309,女,66,12,8,319,4,銀卡,1,2.4,茶飲
M2310,男,59,18,14,239,5,金卡,0,11.5,烘焙
M2311,女,45,5,11,184,3,一般,0,4.3,咖啡
M2312,女,55,9,17,111,0,銀卡,0,0.8,咖啡
M2313,男,47,20,2,136,54,一般,0,3.8,烘焙
M2314,男,59,26,1,149,1,一般,1,1.8,茶飲
M2315,男,69,31,7,123,10,銀卡,1,1.0,茶飲
M2316,男,51,2,5,114,4,一般,0,13.7,咖啡
M2317,男,49,15,4,157,31,一般,0,0.8,咖啡
M2318,女,59,19,4,150,6,一般,1,0.9,咖啡
M2319,男,72,5,7,131,7,一般,0,2.7,烘焙
M2320,女,72,2,6,180,16,一般,1,2.1,咖啡
M2321,女,61,10,9,90,20,銀卡,0,2.4,咖啡
M2322,男,41,32,3,197,26,一般,1,5.0,咖啡
M2323,女,72,28,3,84,49,一般,0,2.3,茶飲
M2324,女,50,9,11,148,9,銀卡,0,1.1,茶飲
M2325,男,60,21,6,151,0,銀卡,1,3.0,茶飲
M2326,女,59,8,7,62,4,銀卡,1,7.5,咖啡
M2327,男,60,2,1,126,45,一般,1,3.5,茶飲
M2328,男,57,34,3,117,17,一般,1,5.5,茶飲
M2329,女,66,19,5,163,7,銀卡,0,0.9,茶飲
M2330,男,52,15,14,129,10,銀卡,1,2.3,咖啡
M2331,男,72,23,2,218,27,一般,1,4.3,咖啡
M2332,女,44,7,19,118,19,銀卡,1,7.6,烘焙
M2333,女,61,14,4,150,5,一般,0,1.9,咖啡
M2334,男,50,8,11,152,18,銀卡,0,2.1,咖啡
M2335,女,44,4,5,217,9,一般,1,2.3,茶飲
M2336,女,50,4,12,199,25,一般,1,3.4,咖啡
M2337,男,48,24,12,154,7,金卡,1,2.1,烘焙
M2338,女,42,7,11,110,3,銀卡,0,3.5,茶飲
M2339,女,62,24,8,132,16,銀卡,0,7.2,咖啡
M2340,女,52,30,20,205,2,金卡,1,2.2,咖啡
M2341,男,46,34,10,239,6,銀卡,1,1.3,咖啡
M2342,男,72,9,8,175,7,銀卡,0,5.2,烘焙
M2343,女,72,17,7,220,3,銀卡,1,2.8,咖啡
M2344,男,40,1,2,203,26,一般,0,3.9,烘焙
M2345,男,52,17,6,171,90,銀卡,1,3.3,咖啡
M2346,女,42,34,4,143,14,一般,0,7.5,咖啡
M2347,女,39,10,10,163,19,銀卡,1,3.5,茶飲
M2348,女,54,8,1,190,90,一般,0,3.4,茶飲
M2349,男,58,29,7,166,14,銀卡,1,0.6,咖啡
M2350,女,48,17,4,107,38,一般,0,1.3,茶飲
M2351,男,56,30,10,112,13,銀卡,1,4.9,咖啡
M2352,男,46,7,3,166,11,一般,1,3.4,咖啡
M2353,女,72,15,10,129,9,銀卡,1,3.0,烘焙
M2354,男,72,2,6,177,16,一般,1,2.9,咖啡
M2355,男,50,36,24,195,6,金卡,1,3.3,茶飲
M2356,女,43,23,2,240,20,一般,1,5.1,咖啡
M2357,男,53,30,8,141,6,銀卡,1,3.6,咖啡
M2358,男,56,22,7,129,37,銀卡,0,7.6,烘焙
M2359,男,47,27,8,113,15,銀卡,0,1.7,茶飲
M2360,女,46,4,4,165,7,一般,1,4.2,咖啡
M2361,女,72,17,0,212,90,一般,1,2.4,咖啡
M2362,女,70,19,11,198,4,銀卡,1,3.1,咖啡
M2363,男,61,24,8,111,13,銀卡,0,3.6,咖啡
M2364,女,63,34,3,188,38,一般,0,4.0,咖啡
M2365,女,56,27,18,291,6,金卡,1,5.3,咖啡
M2366,女,35,25,9,288,28,銀卡,1,2.0,咖啡
M2367,男,46,4,10,82,11,一般,0,11.3,咖啡
M2368,男,72,3,16,180,7,一般,1,2.8,咖啡
M2369,女,68,12,6,129,8,銀卡,1,1.8,茶飲
M2370,女,64,14,15,184,15,銀卡,1,3.3,咖啡
M2371,女,71,14,3,168,40,一般,0,1.3,茶飲
M2372,男,47,26,9,149,42,銀卡,0,4.1,茶飲
M2373,男,47,30,35,179,9,金卡,0,4.4,烘焙
M2374,女,36,11,5,219,79,銀卡,1,3.3,茶飲
M2375,女,39,21,4,164,45,一般,0,3.2,咖啡
M2376,女,52,21,6,93,90,銀卡,1,4.8,茶飲
M2377,女,72,21,3,183,87,一般,1,3.2,烘焙
M2378,男,56,12,13,133,6,銀卡,1,3.6,茶飲
M2379,女,72,16,7,79,3,銀卡,0,5.5,咖啡
M2380,女,63,14,16,190,14,銀卡,0,4.4,咖啡
M2381,女,57,34,6,141,4,銀卡,0,3.0,烘焙
M2382,男,49,14,8,184,1,銀卡,0,19.4,茶飲
M2383,女,50,16,7,194,28,銀卡,1,1.1,烘焙
M2384,女,61,26,3,124,10,一般,0,2.4,咖啡
M2385,男,71,25,11,118,6,銀卡,1,1.3,茶飲
M2386,男,49,15,4,87,8,一般,0,5.2,茶飲
M2387,男,71,26,10,165,14,銀卡,1,1.8,咖啡
M2388,女,72,28,8,207,17,銀卡,0,6.3,烘焙
M2389,男,63,31,17,168,14,金卡,0,1.0,茶飲
M2390,女,47,19,3,100,18,一般,1,2.1,烘焙
M2391,女,61,16,19,199,20,銀卡,0,2.2,烘焙
M2392,女,71,3,10,176,0,一般,0,2.1,咖啡
M2393,男,72,3,7,146,9,一般,1,3.0,咖啡
M2394,女,67,18,11,226,9,銀卡,1,2.8,茶飲
M2395,女,61,23,5,193,7,銀卡,0,4.7,咖啡
M2396,男,48,2,18,163,3,一般,0,7.1,咖啡
M2397,女,60,24,7,157,10,銀卡,1,13.9,茶飲
M2398,女,43,11,13,128,5,銀卡,0,1.2,烘焙
M2399,女,64,33,5,180,4,銀卡,1,1.8,咖啡
M2400,男,56,31,1,177,27,一般,1,3.3,茶飲
