year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2008,63,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.91113,135.792753
2006,23,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.749545,115.531726
2003,58,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.142033,171.063236
2005,21,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.444529,85.159763
2009,52,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.828965,125.081449
2009,77,2. Married,4. Other,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.822717,124.302319
2003,65,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.426509,227.35414
2004,38,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.011489,150.128069
2008,77,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.9745,144.676479
2004,68,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.670431,106.743711
2009,40,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.001612,148.652527
2006,42,2. Married,4. Other,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.301316,200.600702
2008,35,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.240307,188.728052
2005,48,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.976461,144.960398
2003,47,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.213053,183.65388
2004,65,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.557914,259.281424
2003,25,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.531603,92.907402
2004,58,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.165322,175.093845
2004,63,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.842975,126.846219
2006,29,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.089591,162.323418
2004,48,1. Never Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.323592,205.119385
2004,33,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.196349,180.611663
2009,61,3. Widowed,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.934288,138.974106
2008,32,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.201683,66.798656
2009,67,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.894964,133.615235
2009,24,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.334267,76.269002
2009,36,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.215568,184.11632
2005,44,2. Married,3. Asian,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.813184,123.123025
2005,51,1. Never Married,2. Black,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.238787,188.441443
2008,74,5. Separated,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.970285,144.067875
2006,69,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.085634,161.682367
2009,73,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.08772,162.02011
2008,59,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.452876,233.428434
2008,29,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.851864,127.97877
2008,27,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6639,106.048817
2009,60,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.242091,189.065084
2007,30,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.653741,104.977012
2004,46,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.900791,134.395991
2004,24,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.502922,245.408071
2009,64,2. Married,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.919313,136.908459
2008,44,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.089981,162.386813
2007,34,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.908747,135.46959
2005,69,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.830718,125.300872
2004,46,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.625114,102.014375
2008,19,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.97793,145.173578
2005,66,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.172772,176.403103
2003,49,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.557455,259.162516
2008,25,2. Married,3. Asian,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.637849,103.321853
2008,30,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.834938,125.830779
2008,73,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.523866,92.191365
2003,33,2. Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.565769,96.136508
2003,72,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.887527,132.625217
2003,39,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.802946,121.868876
2008,33,3. Widowed,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.484941,88.671726
2008,45,3. Widowed,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.203014,181.819378
2007,56,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.230567,186.898768
2009,41,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.461746,235.508184
2007,18,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.415323,82.708572
2005,21,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.613823,100.868992
2005,60,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.989421,146.851348
2008,53,1. Never Married,3. Asian,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.795463,120.960344
2008,76,1. Never Married,3. Asian,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.139946,170.706523
2006,59,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.296809,199.69851
2009,19,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.576945,97.216968
2007,28,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.597517,99.237582
2003,46,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.169211,175.776146
2007,56,4. Divorced,3. Asian,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.004836,149.132553
2004,63,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.106456,165.084231
2006,40,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.135678,169.979459
2003,39,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.068672,158.963015
2004,46,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.318775,204.133671
2009,74,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.986926,146.485379
2007,38,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.127581,168.608766
2003,33,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.133032,169.530355
2005,75,2. Married,3. Asian,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.933581,138.87591
2007,66,1. Never Married,2. Black,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.549624,94.596808
2003,45,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.790111,120.314748
2007,22,2. Married,2. Black,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.633244,102.847202
2009,65,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.907676,135.324577
2003,74,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.180921,177.846609
2009,80,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.998747,148.227315
2008,63,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.136416,170.105021
2003,21,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.995316,147.719663
2008,66,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.008535,149.685231
2009,77,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.286695,197.688997
2008,51,3. Widowed,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.168788,175.701682
2007,53,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.049286,155.91107
2007,39,2. Married,3. Asian,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.090849,162.527822
2009,80,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.846993,127.356825
2008,29,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.79546,120.96
2007,31,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.807469,122.42133
2008,31,2. Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.434697,84.326593
2007,21,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.753083,115.941173
2003,25,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.587958,98.293482
2007,38,1. Never Married,4. Other,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.913108,136.061644
2003,67,2. Married,4. Other,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.033995,153.545237
2005,44,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.018699,151.214424
2009,37,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.682289,108.017002
2005,56,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,5.025483,152.243809
2004,26,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.375503,79.479844
2009,28,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.645265,104.090948
2006,39,1. Never Married,2. Black,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.117214,166.869867
2006,53,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.668234,106.50944
2003,66,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.083609,161.355392
2005,27,5. Separated,4. Other,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.988406,146.702435
2008,21,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.725669,112.805924
2008,58,2. Married,4. Other,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.261534,192.777044
2007,21,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.657926,105.417214
2006,34,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.056654,157.064121
2009,46,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,5.318202,204.016676
2009,49,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.175074,176.809768
2004,38,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.066596,158.633451
2006,40,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.577193,264.328595
2005,51,1. Never Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.158108,173.835279
2005,59,2. Married,3. Asian,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.416672,225.128563
2004,35,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.454879,86.045776
2004,27,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,5.055431,156.872054
2004,64,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.078859,160.59076
2008,60,2. Married,3. Asian,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,5.118751,167.126461
2007,18,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.550702,94.698874
2003,68,5. Separated,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.308403,202.027266
2008,30,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.916792,136.563795
2004,23,4. Divorced,2. Black,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.381975,79.995851
2005,57,4. Divorced,4. Other,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.18165,177.976218
2009,43,1. Never Married,3. Asian,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.834383,125.760911
2005,59,3. Widowed,1. White,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.55762,95.356305
2003,73,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.360267,212.781679
2004,72,2. Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,5.15995,174.155768
2004,78,2. Married,2. Black,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.058582,157.367153
2003,22,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.622976,101.796529
2005,69,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.380465,217.123156
2007,57,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.994996,147.672315
2004,28,1. Never Married,2. Black,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.436133,84.447781
2004,19,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.646394,104.208541
2009,31,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.994518,147.601822
2006,49,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,5.471093,237.719936
2008,57,1. Never Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.364065,213.591329
2003,76,4. Divorced,3. Asian,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.863095,129.424176
2006,53,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.12758,168.608565
2009,54,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.257337,191.969612
2007,33,2. Married,2. Black,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.068549,158.943558
2008,34,1. Never Married,4. Other,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.687811,108.615187
2009,18,5. Separated,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.277919,72.090265
2003,80,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,5.115459,166.57728
2007,70,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.038579,154.250689
2006,42,5. Separated,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.706271,110.638849
2006,80,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.204055,66.957269
