mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
47.0,4,118.2,77.7,2088.0,19.1,80,1,synthetic-auto-0046
40.2,6,180.9,84.5,2541.0,17.7,80,1,synthetic-auto-0047
35.9,4,112.1,75.6,2425.0,19.9,70,1,synthetic-auto-0048
41.9,6,79.2,78.2,1967.0,18.2,73,1,synthetic-auto-0049
33.6,4,154.2,102.5,2790.0,15.7,70,1,synthetic-auto-0050
45.0,4,150.3,80.2,2162.0,17.3,82,3,synthetic-auto-0051
40.4,4,65.0,46.0,1600.0,18.2,74,3,synthetic-auto-0052
48.0,4,96.9,72.3,1715.0,15.7,82,1,synthetic-auto-0053
41.0,4,140.1,106.8,2358.0,15.1,79,2,synthetic-auto-0054
32.1,6,158.0,91.8,2980.0,15.2,71,1,synthetic-auto-0055
40.4,4,91.3,57.6,1827.0,18.7,77,1,synthetic-auto-0056
37.1,4,78.8,46.0,1870.0,16.9,72,1,synthetic-auto-0057
36.7,4,88.4,46.0,2045.0,16.8,76,2,synthetic-auto-0058
48.0,4,65.0,53.3,1647.0,19.0,79,2,synthetic-auto-0059
41.4,4,99.8,59.0,2074.0,15.5,71,1,synthetic-auto-0060
42.7,4,65.0,57.4,1600.0,18.2,70,2,synthetic-auto-0061
41.5,8,240.5,132.0,3051.0,19.6,82,3,synthetic-auto-0062
39.8,4,135.7,81.3,2275.0,19.5,77,2,synthetic-auto-0063
36.9,8,326.5,148.7,3746.0,18.4,80,3,synthetic-auto-0064
48.0,4,65.0,60.6,1600.0,19.9,79,3,synthetic-auto-0065
47.5,4,65.0,46.0,1600.0,16.2,79,2,synthetic-auto-0066
41.8,4,104.5,96.1,2012.0,14.2,78,3,synthetic-auto-0067
40.9,6,148.6,65.7,2737.0,18.1,77,1,synthetic-auto-0068
42.7,4,74.5,56.4,1985.0,15.1,72,3,synthetic-auto-0069
48.0,4,100.2,64.4,1656.0,17.0,82,1,synthetic-auto-0070
42.0,4,149.5,106.1,2047.0,14.7,78,1,synthetic-auto-0071
44.0,6,165.2,93.2,2210.0,15.9,80,1,synthetic-auto-0072
48.0,4,80.1,59.1,1646.0,17.3,81,3,synthetic-auto-0073
48.0,4,65.0,51.8,1600.0,18.4,80,3,synthetic-auto-0074
42.0,4,65.0,79.2,1802.0,19.0,75,3,synthetic-auto-0075
39.5,4,82.8,46.0,2311.0,17.8,73,3,synthetic-auto-0076
48.0,4,65.0,75.0,1600.0,18.3,81,1,synthetic-auto-0077
47.6,4,85.6,70.7,1621.0,18.0,76,1,synthetic-auto-0078
38.5,4,78.0,68.5,1600.0,16.5,71,1,synthetic-auto-0079
42.6,6,142.3,101.1,2465.0,17.6,76,3,synthetic-auto-0080
34.8,6,201.5,116.4,2561.0,15.2,71,3,synthetic-auto-0081
42.3,6,146.5,75.9,2376.0,19.6,71,3,synthetic-auto-0082
35.4,6,229.4,89.1,2823.0,13.9,71,1,synthetic-auto-0083
32.9,4,194.1,111.5,2808.0,16.9,74,2,synthetic-auto-0084
37.8,4,67.3,55.0,1600.0,17.3,71,1,synthetic-auto-0085
44.9,4,76.8,46.0,2033.0,19.0,81,3,synthetic-auto-0086
38.0,4,116.6,91.1,2202.0,17.1,76,3,synthetic-auto-0087
42.6,4,113.7,97.6,1983.0,15.6,77,2,synthetic-auto-0088
48.0,4,83.9,53.7,1972.0,16.8,79,2,synthetic-auto-0089
48.0,4,75.1,54.1,1600.0,17.2,81,1,synthetic-auto-0090
41.7,4,146.1,76.3,2132.0,18.4,78,1,synthetic-auto-0091
48.0,4,93.3,54.1,1600.0,22.5,76,1,synthetic-auto-0092
37.6,8,261.4,118.3,3591.0,17.3,82,2,synthetic-auto-0093
45.7,4,98.1,72.9,1733.0,16.3,76,1,synthetic-auto-0094
33.0,8,215.6,105.7,3010.0,17.1,73,1,synthetic-auto-0095
36.6,6,192.6,100.3,2944.0,15.3,78,2,synthetic-auto-0096
46.3,4,95.8,74.7,2525.0,16.3,79,2,synthetic-auto-0097
29.0,8,242.6,120.2,4135.0,15.2,77,1,synthetic-auto-0098
38.9,8,275.7,138.1,3009.0,16.8,80,2,synthetic-auto-0099
42.3,4,65.0,46.0,1600.0,16.3,70,2,synthetic-auto-0100
39.1,4,148.2,102.3,2251.0,19.0,71,1,synthetic-auto-0101
45.0,4,113.0,61.2,2578.0,16.6,79,2,synthetic-auto-0102
28.8,8,303.9,115.9,3930.0,16.5,75,1,synthetic-auto-0103
45.6,4,94.3,59.2,1600.0,15.6,78,3,synthetic-auto-0104
42.1,4,104.1,46.0,2152.0,18.2,74,2,synthetic-auto-0105
45.4,4,67.6,66.3,1817.0,18.7,78,2,synthetic-auto-0106
41.5,4,115.4,84.5,2514.0,19.1,80,2,synthetic-auto-0107
34.2,8,270.1,129.3,3579.0,13.4,78,2,synthetic-auto-0108
40.5,4,120.4,78.3,2164.0,17.2,80,2,synthetic-auto-0109
42.4,4,135.1,90.0,1649.0,17.2,70,3,synthetic-auto-0110
43.9,6,82.7,46.0,1768.0,21.2,79,1,synthetic-auto-0111
38.6,4,120.9,69.9,2141.0,16.2,72,3,synthetic-auto-0112
41.5,4,75.8,71.6,1861.0,12.3,78,1,synthetic-auto-0113
44.0,4,108.4,63.7,2122.0,14.3,74,1,synthetic-auto-0114
32.3,6,204.3,95.3,2946.0,20.9,76,1,synthetic-auto-0115
48.0,4,97.6,73.3,1863.0,12.7,82,2,synthetic-auto-0116
37.6,6,206.1,122.6,3255.0,16.7,76,3,synthetic-auto-0117
36.3,8,180.2,107.7,2472.0,17.2,71,1,synthetic-auto-0118
36.2,6,181.4,121.0,3103.0,13.6,79,1,synthetic-auto-0119
35.9,6,155.8,94.3,2870.0,17.1,78,2,synthetic-auto-0120
41.8,4,65.0,48.4,2074.0,15.3,73,1,synthetic-auto-0121
48.0,4,92.5,53.2,1600.0,14.5,77,2,synthetic-auto-0122
32.3,8,267.0,145.6,3764.0,13.4,77,2,synthetic-auto-0123
41.6,4,65.8,72.7,1600.0,14.9,75,3,synthetic-auto-0124
39.4,4,89.4,68.8,2295.0,15.9,73,2,synthetic-auto-0125
39.2,4,111.9,74.7,2435.0,18.6,79,1,synthetic-auto-0126
48.0,4,85.0,55.6,1735.0,19.9,80,1,synthetic-auto-0127
40.9,4,127.1,53.7,2152.0,17.8,70,1,synthetic-auto-0128
39.9,4,124.0,62.4,2032.0,15.3,71,2,synthetic-auto-0129
39.4,4,65.0,53.9,1962.0,14.0,76,1,synthetic-auto-0130
41.5,4,161.2,94.8,2713.0,14.0,80,1,synthetic-auto-0131
44.3,4,92.2,47.9,1986.0,17.5,75,1,synthetic-auto-0132
45.9,4,91.3,55.5,2056.0,19.2,78,2,synthetic-auto-0133
41.1,6,160.4,98.7,2845.0,15.3,78,1,synthetic-auto-0134
39.2,6,149.8,87.5,2439.0,15.8,75,3,synthetic-auto-0135
40.7,4,132.9,90.5,2120.0,13.5,71,2,synthetic-auto-0136
47.8,4,65.0,75.0,1743.0,17.3,81,2,synthetic-auto-0137
41.1,4,65.0,46.1,1677.0,16.7,72,3,synthetic-auto-0138
41.6,4,131.5,51.8,2060.0,12.9,71,2,synthetic-auto-0139
44.6,4,121.9,86.2,2251.0,19.6,80,1,synthetic-auto-0140
35.3,6,147.2,91.1,2608.0,16.3,72,1,synthetic-auto-0141
42.4,4,93.4,46.4,1739.0,18.9,75,1,synthetic-auto-0142
44.0,4,146.8,91.0,2160.0,17.1,75,1,synthetic-auto-0143
45.2,4,66.3,75.5,1600.0,17.5,70,1,synthetic-auto-0144
46.0,4,65.0,67.8,1622.0,14.8,71,1,synthetic-auto-0145
41.3,4,150.3,92.5,2502.0,18.3,77,1,synthetic-auto-0146
41.9,6,210.2,97.3,2806.0,17.4,80,2,synthetic-auto-0147
37.8,4,156.6,86.0,2189.0,17.9,70,1,synthetic-auto-0148
30.8,8,264.2,154.2,3613.0,16.0,75,3,synthetic-auto-0149
33.4,8,307.8,179.4,4024.0,17.8,81,2,synthetic-auto-0150
46.5,4,65.0,46.0,1600.0,20.0,75,3,synthetic-auto-0151
34.4,6,212.2,127.5,2700.0,15.6,79,3,synthetic-auto-0152
45.2,4,105.1,46.0,2168.0,20.0,77,2,synthetic-auto-0153
33.3,8,197.7,117.5,3199.0,16.2,77,1,synthetic-auto-0154
40.5,6,158.3,89.2,2635.0,19.5,80,2,synthetic-auto-0155
37.6,4,121.3,46.0,2110.0,17.9,71,1,synthetic-auto-0156
43.7,4,65.0,46.0,1600.0,19.7,73,3,synthetic-auto-0157
47.3,4,77.2,68.5,2136.0,13.2,81,1,synthetic-auto-0158
37.6,4,149.6,80.6,2224.0,17.4,71,1,synthetic-auto-0159
40.8,4,109.0,64.7,2087.0,18.6,75,1,synthetic-auto-0160
43.2,4,82.8,54.5,2045.0,20.1,76,1,synthetic-auto-0161
40.4,4,149.4,50.8,2530.0,22.3,73,1,synthetic-auto-0162
33.1,6,185.7,87.1,2876.0,15.6,71,2,synthetic-auto-0163
43.1,4,99.0,85.1,2006.0,16.9,79,1,synthetic-auto-0164
34.3,4,143.7,81.9,2410.0,17.6,77,1,synthetic-auto-0165
40.1,4,104.0,74.2,1863.0,18.4,74,3,synthetic-auto-0166
39.1,8,251.7,114.9,3348.0,18.4,76,1,synthetic-auto-0167
39.1,6,141.6,80.0,2778.0,16.1,77,1,synthetic-auto-0168
40.1,6,204.5,125.1,2508.0,15.0,78,3,synthetic-auto-0169
42.2,4,154.7,69.3,2283.0,21.2,70,2,synthetic-auto-0170
26.8,8,247.9,151.5,3702.0,12.5,70,2,synthetic-auto-0171
31.0,8,245.0,144.2,3479.0,16.4,74,3,synthetic-auto-0172
32.1,4,182.5,111.2,3066.0,18.1,70,1,synthetic-auto-0173
41.3,6,156.7,71.9,2789.0,16.3,81,2,synthetic-auto-0174
47.7,6,164.8,77.0,2362.0,20.8,81,2,synthetic-auto-0175
41.5,6,171.0,85.5,2822.0,19.0,80,1,synthetic-auto-0176
33.2,6,186.3,93.4,3048.0,18.5,72,1,synthetic-auto-0177
40.2,4,148.5,99.0,2011.0,18.3,71,2,synthetic-auto-0178
40.2,8,246.1,139.5,3206.0,18.2,79,3,synthetic-auto-0179
34.3,8,253.0,149.3,3222.0,15.0,78,1,synthetic-auto-0180
43.6,4,141.4,61.8,2306.0,14.0,75,1,synthetic-auto-0181
41.4,4,140.3,58.5,2183.0,20.9,76,1,synthetic-auto-0182
36.5,8,280.9,115.8,3345.0,17.0,79,1,synthetic-auto-0183
39.4,4,135.3,93.2,2157.0,14.9,72,1,synthetic-auto-0184
41.3,4,65.0,95.5,1600.0,16.7,74,1,synthetic-auto-0185
47.1,4,87.6,47.3,2156.0,18.7,78,1,synthetic-auto-0186
39.3,8,204.7,123.7,2808.0,17.3,75,2,synthetic-auto-0187
38.8,8,186.2,124.9,2937.0,18.7,75,3,synthetic-auto-0188
47.7,4,65.0,46.0,1600.0,15.9,77,1,synthetic-auto-0189
29.6,6,205.5,121.2,3363.0,15.9,71,2,synthetic-auto-0190
39.2,6,192.9,108.9,2882.0,18.9,79,1,synthetic-auto-0191
33.7,6,235.9,133.7,3170.0,18.6,74,2,synthetic-auto-0192
40.3,4,65.0,73.5,1600.0,17.2,71,1,synthetic-auto-0193
40.7,4,65.0,54.2,1600.0,16.3,71,3,synthetic-auto-0194
46.1,4,128.2,73.6,2117.0,12.8,82,3,synthetic-auto-0195
30.9,8,249.7,116.8,3550.0,12.8,70,1,synthetic-auto-0196
48.0,4,73.7,74.3,1600.0,19.4,80,3,synthetic-auto-0197
41.8,4,120.6,74.4,2249.0,19.8,80,2,synthetic-auto-0198
28.5,6,199.3,137.0,3021.0,17.0,71,2,synthetic-auto-0199
24.9,8,306.6,172.8,4067.0,15.6,73,2,synthetic-auto-0200
43.2,4,85.4,73.1,1600.0,15.6,74,1,synthetic-auto-0201
35.8,4,137.4,64.3,2832.0,19.3,77,2,synthetic-auto-0202
35.7,6,231.5,137.1,3401.0,14.7,71,2,synthetic-auto-0203
36.8,6,245.3,113.1,3121.0,16.8,81,2,synthetic-auto-0204
43.5,4,147.4,91.1,2610.0,15.0,82,2,synthetic-auto-0205
34.1,6,194.8,103.4,2538.0,16.2,72,3,synthetic-auto-0206
33.9,4,127.2,80.9,2502.0,15.4,70,1,synthetic-auto-0207
43.6,6,145.3,97.0,2310.0,16.6,77,1,synthetic-auto-0208
36.6,6,176.4,117.4,2567.0,16.2,73,3,synthetic-auto-0209
37.6,6,210.9,97.4,2867.0,19.1,75,2,synthetic-auto-0210
33.4,8,256.5,110.7,3659.0,16.8,79,1,synthetic-auto-0211
37.8,8,233.1,100.2,2921.0,18.0,78,3,synthetic-auto-0212
31.8,8,217.3,94.2,3045.0,19.7,70,1,synthetic-auto-0213
42.4,4,115.0,74.3,1949.0,14.9,80,1,synthetic-auto-0214
48.0,4,129.7,73.5,2506.0,19.1,82,1,synthetic-auto-0215
41.5,4,123.1,64.1,2194.0,16.1,77,1,synthetic-auto-0216
32.9,6,138.0,65.4,2413.0,17.9,71,2,synthetic-auto-0217
30.2,8,226.4,112.0,3413.0,15.6,71,2,synthetic-auto-0218
46.8,4,78.3,66.9,1952.0,16.6,80,2,synthetic-auto-0219
43.2,4,113.4,62.9,2056.0,17.4,79,1,synthetic-auto-0220
44.6,4,134.1,72.7,2469.0,16.9,80,1,synthetic-auto-0221
43.1,4,135.9,55.4,2104.0,15.1,79,1,synthetic-auto-0222
43.5,4,118.2,88.7,2210.0,18.1,77,3,synthetic-auto-0223
25.4,8,343.1,175.6,4223.0,17.9,79,1,synthetic-auto-0224
40.7,4,126.2,112.4,2310.0,16.6,75,1,synthetic-auto-0225
44.7,6,91.4,46.0,1929.0,15.1,79,3,synthetic-auto-0226
39.2,6,131.7,66.6,2528.0,18.8,74,1,synthetic-auto-0227
38.0,8,204.4,119.8,2807.0,18.2,80,2,synthetic-auto-0228
34.1,8,307.5,178.6,3617.0,15.4,78,1,synthetic-auto-0229
41.5,4,146.1,77.0,2326.0,17.8,73,1,synthetic-auto-0230
29.8,8,218.2,121.6,3038.0,15.5,70,1,synthetic-auto-0231
36.5,8,229.9,123.2,3698.0,18.3,79,1,synthetic-auto-0232
48.0,4,65.0,53.9,1845.0,14.2,80,2,synthetic-auto-0233
42.2,4,109.5,112.9,1963.0,15.9,75,1,synthetic-auto-0234
47.4,4,83.2,52.0,2015.0,14.7,78,2,synthetic-auto-0235
33.0,8,308.8,154.9,4198.0,14.5,81,1,synthetic-auto-0236
34.6,6,222.5,120.5,3016.0,15.0,72,1,synthetic-auto-0237
44.0,6,168.2,81.8,2627.0,16.4,82,1,synthetic-auto-0238
45.0,4,125.0,86.3,2072.0,17.4,77,1,synthetic-auto-0239
40.8,4,96.7,67.9,2300.0,22.2,82,1,synthetic-auto-0240
41.5,4,100.0,61.7,2005.0,17.9,71,2,synthetic-auto-0241
48.0,4,65.0,60.5,1681.0,19.9,76,1,synthetic-auto-0242
43.0,4,139.4,85.3,2496.0,16.8,78,3,synthetic-auto-0243
38.0,4,190.3,113.2,3374.0,16.8,79,1,synthetic-auto-0244
35.1,6,206.4,124.5,2964.0,17.8,72,1,synthetic-auto-0245
45.2,6,108.6,83.9,1826.0,18.6,72,3,synthetic-auto-0246
35.5,8,289.3,149.6,3619.0,15.1,75,1,synthetic-auto-0247
45.2,4,130.2,55.3,1932.0,17.2,82,1,synthetic-auto-0248
42.7,4,108.3,73.9,1739.0,20.3,74,3,synthetic-auto-0249
41.2,4,65.9,50.9,1916.0,15.1,71,1,synthetic-auto-0250
31.4,8,280.1,139.7,4062.0,17.7,78,2,synthetic-auto-0251
45.0,4,95.1,88.1,1953.0,18.1,76,2,synthetic-auto-0252
36.4,4,147.2,84.8,2316.0,18.4,70,2,synthetic-auto-0253
41.0,4,122.7,67.3,2168.0,20.3,71,3,synthetic-auto-0254
43.6,6,91.6,56.7,2117.0,17.8,77,1,synthetic-auto-0255
46.2,4,65.0,64.8,1600.0,16.6,75,1,synthetic-auto-0256
43.5,6,164.7,71.9,2781.0,15.7,82,3,synthetic-auto-0257
41.3,4,94.9,63.5,1642.0,15.2,72,3,synthetic-auto-0258
38.8,4,133.5,103.9,2237.0,16.4,72,1,synthetic-auto-0259
36.0,6,122.7,109.5,2231.0,17.2,70,3,synthetic-auto-0260
37.2,6,174.2,102.6,2710.0,16.2,75,2,synthetic-auto-0261
42.7,4,126.5,70.0,2222.0,18.8,76,1,synthetic-auto-0262
40.3,6,198.2,105.7,3161.0,19.4,81,1,synthetic-auto-0263
41.2,4,65.0,46.0,1883.0,19.6,70,2,synthetic-auto-0264
37.8,6,140.6,67.3,2274.0,19.2,73,3,synthetic-auto-0265
43.7,4,114.0,73.4,2027.0,18.3,81,3,synthetic-auto-0266
39.1,6,189.1,92.3,2842.0,17.7,82,2,synthetic-auto-0267
40.0,6,177.8,100.7,3016.0,18.2,82,1,synthetic-auto-0268
41.5,6,196.0,106.4,2726.0,14.1,76,1,synthetic-auto-0269
48.0,4,65.0,46.0,1608.0,14.3,79,1,synthetic-auto-0270
35.2,4,182.3,101.1,2750.0,17.9,73,2,synthetic-auto-0271
35.1,8,263.8,131.6,3696.0,15.4,77,1,synthetic-auto-0272
34.3,8,235.0,109.2,3587.0,14.1,74,1,synthetic-auto-0273
34.2,4,102.6,72.5,2044.0,18.1,70,1,synthetic-auto-0274
34.1,6,167.6,112.5,3252.0,14.4,70,2,synthetic-auto-0275
41.6,4,122.4,59.3,2593.0,17.0,77,1,synthetic-auto-0276
38.7,6,157.0,73.2,2503.0,16.8,70,3,synthetic-auto-0277
39.9,8,219.3,132.2,3127.0,17.0,82,1,synthetic-auto-0278
44.0,4,131.4,91.2,1913.0,19.0,75,2,synthetic-auto-0279
40.5,4,118.2,76.9,2656.0,17.4,79,3,synthetic-auto-0280
31.6,8,230.4,132.7,3049.0,14.1,72,1,synthetic-auto-0281
39.2,8,237.4,132.6,3383.0,16.1,82,1,synthetic-auto-0282
29.7,8,275.1,153.9,3551.0,13.7,71,1,synthetic-auto-0283
34.6,8,245.9,122.8,3217.0,15.5,77,2,synthetic-auto-0284
40.2,4,132.9,71.7,2886.0,17.0,74,1,synthetic-auto-0285
41.7,4,138.8,81.4,2513.0,17.8,80,1,synthetic-auto-0286
30.7,8,311.1,139.2,3950.0,12.4,76,1,synthetic-auto-0287
42.4,4,103.9,63.6,2211.0,19.6,78,1,synthetic-auto-0288
46.5,4,84.5,72.7,1637.0,16.5,78,3,synthetic-auto-0289
44.2,4,124.6,61.1,2087.0,18.4,74,1,synthetic-auto-0290
35.5,8,289.8,128.7,3386.0,17.5,77,3,synthetic-auto-0291
41.5,4,120.9,57.7,2338.0,15.7,75,1,synthetic-auto-0292
43.4,4,113.5,75.1,2541.0,20.2,81,3,synthetic-auto-0293
33.9,4,118.2,61.2,2220.0,19.6,70,1,synthetic-auto-0294
48.0,4,105.0,68.1,1994.0,16.4,80,3,synthetic-auto-0295
37.8,6,234.8,108.5,3241.0,19.0,79,2,synthetic-auto-0296
34.8,8,286.8,122.2,3317.0,16.2,79,2,synthetic-auto-0297
39.8,4,148.4,97.2,2174.0,18.5,73,1,synthetic-auto-0298
44.4,4,65.0,46.0,1780.0,15.9,78,1,synthetic-auto-0299
30.8,8,264.6,155.4,3749.0,17.2,70,2,synthetic-auto-0300
34.7,8,223.6,132.2,3618.0,19.3,77,3,synthetic-auto-0301
48.0,4,79.0,60.6,1600.0,21.5,82,2,synthetic-auto-0302
43.8,4,129.5,82.2,2124.0,19.4,79,3,synthetic-auto-0303
42.5,4,83.4,59.2,2120.0,17.9,82,1,synthetic-auto-0304
36.5,4,120.1,64.3,2249.0,15.7,73,2,synthetic-auto-0305
33.7,6,251.6,134.0,3622.0,19.1,78,3,synthetic-auto-0306
48.0,4,92.8,46.0,1624.0,18.9,81,1,synthetic-auto-0307
41.6,4,107.7,79.6,1953.0,16.8,76,2,synthetic-auto-0308
48.0,4,80.6,46.7,1997.0,15.2,80,2,synthetic-auto-0309
48.0,4,65.0,57.8,1600.0,16.7,80,1,synthetic-auto-0310
33.4,8,251.5,145.6,3258.0,19.2,75,1,synthetic-auto-0311
37.2,6,141.8,85.3,2755.0,18.6,73,1,synthetic-auto-0312
45.1,4,99.7,61.8,1891.0,16.0,77,2,synthetic-auto-0313
39.2,6,143.4,100.5,2705.0,15.4,70,3,synthetic-auto-0314
41.2,8,224.1,111.7,3038.0,15.6,78,2,synthetic-auto-0315
47.0,4,88.0,67.2,1817.0,14.2,81,2,synthetic-auto-0316
40.2,6,197.8,70.1,2953.0,15.9,78,2,synthetic-auto-0317
44.7,4,79.1,47.0,1600.0,18.2,71,2,synthetic-auto-0318
48.0,4,79.8,64.7,1755.0,18.4,82,3,synthetic-auto-0319
37.0,6,211.2,127.2,3289.0,17.1,79,1,synthetic-auto-0320
37.7,4,65.0,46.0,1957.0,14.4,75,3,synthetic-auto-0321
40.7,4,99.7,83.2,2039.0,19.3,74,2,synthetic-auto-0322
36.8,6,173.0,80.6,2873.0,18.3,70,1,synthetic-auto-0323
43.5,4,69.5,46.0,1878.0,21.7,76,1,synthetic-auto-0324
37.3,4,133.7,64.5,3025.0,16.1,74,3,synthetic-auto-0325
45.1,4,101.5,50.4,1648.0,16.6,78,2,synthetic-auto-0326
35.1,6,174.6,97.7,2746.0,16.1,71,3,synthetic-auto-0327
40.4,6,165.5,109.2,2697.0,17.2,82,1,synthetic-auto-0328
28.4,8,259.3,137.6,3717.0,14.1,70,1,synthetic-auto-0329
34.2,4,140.2,83.5,2789.0,17.2,71,3,synthetic-auto-0330
38.8,4,118.0,71.3,2491.0,19.3,77,1,synthetic-auto-0331
41.0,4,90.4,61.6,2263.0,17.2,77,1,synthetic-auto-0332
38.3,6,193.4,127.4,2863.0,19.6,77,3,synthetic-auto-0333
45.2,4,96.9,58.5,2050.0,15.3,80,1,synthetic-auto-0334
34.0,6,163.7,69.6,2761.0,16.8,71,3,synthetic-auto-0335
40.9,4,135.9,97.0,2168.0,15.8,77,1,synthetic-auto-0336
43.6,4,106.8,61.6,2150.0,19.6,80,1,synthetic-auto-0337
42.4,4,108.0,68.8,1911.0,18.5,76,1,synthetic-auto-0338
42.8,4,111.4,80.7,2247.0,21.9,76,1,synthetic-auto-0339
47.6,6,100.2,75.3,2009.0,19.7,82,2,synthetic-auto-0340
35.2,4,149.5,93.3,2663.0,14.9,77,3,synthetic-auto-0341
30.4,8,268.0,130.1,3528.0,18.5,71,1,synthetic-auto-0342
39.3,6,197.5,91.3,3208.0,15.0,79,3,synthetic-auto-0343
39.1,4,144.1,61.0,2214.0,19.8,75,1,synthetic-auto-0344
39.5,6,205.8,102.1,2839.0,16.8,76,1,synthetic-auto-0345
41.2,4,160.2,114.4,2117.0,13.6,72,1,synthetic-auto-0346
41.4,4,121.8,73.7,2240.0,14.9,71,2,synthetic-auto-0347
41.6,4,105.5,92.8,1692.0,15.6,81,3,synthetic-auto-0348
45.8,6,135.6,76.2,2328.0,16.2,81,1,synthetic-auto-0349
39.0,4,159.6,76.9,2569.0,13.1,70,2,synthetic-auto-0350
46.0,4,65.0,46.0,1625.0,21.5,80,2,synthetic-auto-0351
40.7,8,242.6,129.8,3408.0,14.8,82,2,synthetic-auto-0352
45.0,6,105.3,83.6,2142.0,15.2,81,1,synthetic-auto-0353
31.2,8,235.2,124.9,3682.0,12.8,76,3,synthetic-auto-0354
43.6,4,83.6,61.8,2136.0,16.2,82,1,synthetic-auto-0355
28.9,8,316.9,143.3,3962.0,16.4,71,3,synthetic-auto-0356
41.0,6,208.7,128.1,2820.0,17.7,75,2,synthetic-auto-0357
31.8,8,299.0,156.8,3798.0,17.1,78,3,synthetic-auto-0358
43.6,6,112.3,46.0,1821.0,17.1,79,1,synthetic-auto-0359
35.8,6,201.3,117.5,3301.0,14.8,79,2,synthetic-auto-0360
42.1,4,65.0,68.7,1955.0,18.8,76,1,synthetic-auto-0361
37.8,6,204.1,120.6,2713.0,20.8,73,1,synthetic-auto-0362
47.8,4,131.0,83.2,2259.0,16.5,81,1,synthetic-auto-0363
42.7,6,169.5,114.6,2570.0,17.4,82,1,synthetic-auto-0364
46.5,4,94.3,57.8,1979.0,18.6,80,1,synthetic-auto-0365
31.8,6,148.8,80.4,2880.0,12.9,76,1,synthetic-auto-0366
