TV,Radio,Newspaper,Sales
220.9,18.7,23.3,18.8
166.2,35.4,90.1,15.2
232.2,39.3,53.1,19.7
133.1,30.4,1.1,15.6
168.0,8.9,64.1,12.2
19.2,9.0,50.7,6.6
164.8,37.6,8.7,16.3
241.6,35.1,30.0,18.9
209.3,44.5,35.2,17.7
238.2,38.7,39.6,19.1
147.4,20.9,80.7,11.7
261.3,6.6,19.3,13.7
32.7,44.2,50.7,13.2
259.6,34.5,69.3,20.1
