訂單編號,日期,星期,分店,時段,天氣,會員編號,品項,類別,數量,單價,金額
A23697,2026-08-28,星期五,信義店,晚上,晴,M1277,卡布奇諾,咖啡,1,95,95.0
A23101,2026-08-20,星期四,板橋店,下午,晴,M1669,美式咖啡,咖啡,1,70,70.0
A23845,2026-08-29,星期六,中壢店,下午,陰,M1961,美式咖啡,咖啡,1,70,70.0
A23947,2026-08-30,星期日,中壢店,晚上,晴,M1793,起司蛋糕,烘焙,3,120,360.0
A22653,2026-08-15,星期六,信義店,晚上,晴,M1843,抹茶拿鐵,茶飲,3,100,300.0
A22146,20260809,星期日,信義店,早上,晴,M0419,拿鐵,咖啡,2,90,180.0
A23441,2026-08-24,星期一,板橋店,晚上,晴,,拿鐵,咖啡,1,90,90.0
A22403,2026-08-12,星期三,板橋店,晚上,陰,,美式咖啡,咖啡,3,70,210.0
A21859,2026-08-06,星期四,信義店,早上,陰,M1017,拿鐵,咖啡,3,90,270.0
A23717,2026/08/28,星期五,板橋店,早上,晴,M1539,抹茶拿鐵,茶飲,1,100,100.0
A22922,2026-08-17,星期一,板橋店,下午,晴,M1203,拿鐵,咖啡,1,90,90.0
A22686,2026-08-15,星期六,板橋店,下午,晴,M0679,卡布奇諾,咖啡,2,95,190.0
A21602,2026/08/02,星期日,板橋店,下午,陰,M0555,卡布奇諾,咖啡,1,95,95.0
A23410,2026-08-23,星期日,中壢店,早上,雨,M1941,拿鐵,咖啡,1,90,90.0
A23613,2026-08-27,星期四,信義店,早上,晴,,紅茶,茶飲,3,50,150.0
A22782,2026-08-16,星期日,信義店,下午,陰,M1379,起司蛋糕,烘焙,2,120,240.0
A23962,2026-08-30,星期日,中壢店,晚上,晴,,拿鐵,咖啡,1,90,90.0
A21701,2026-08-03,星期一,板橋店,下午,晴,,肉桂捲,烘焙,2,85,170.0
A21888,2026-08-06,星期四,板橋店,下午,陰,,拿鐵,咖啡,2,90,
A22422,2026-08-12,星期三,中壢店,早上,陰,M0471,拿鐵,咖啡,1,90,90.0
A21937,2026-08-07,星期五,信義店,下午,晴,,卡布奇諾,咖啡,1,95,95.0
A23000,2026-08-19,星期三,信義店,晚上,晴,M0932,拿鐵,咖啡,5,90,450.0
A22294,2026-08-10,星期一,中壢店,早上,晴,,卡布奇諾,咖啡,1,95,95.0
A21862,2026-08-06,星期四,信義店,下午,陰,M1144,紅茶,茶飲,1,50,50.0
A22984,2026-08-18,星期二,中壢店,下午,陰,,美式咖啡,咖啡,1,70,70.0
A22427,20260812,星期三,中壢店,下午,陰,,抹茶拿鐵,茶飲,2,100,200.0
A23502,2026-08-25,星期二,板橋店,下午,雨,M0959,抹茶拿鐵,茶飲,1,100,100.0
A23896,2026-08-30,星期日,板橋店,早上,晴,,可頌,烘焙,1,60,60.0
A22843,20260816,星期日,板橋店,晚上,陰,,可頌,烘焙,1,60,60.0
A23543,2026-08-26,星期三,信義店,下午,陰,M1468,拿鐵,咖啡,1,90,90.0
A23077,2026-08-20,星期四,信義店,下午,晴,M1113,肉桂捲,烘焙,2,85,170.0
A23765,2026-08-29,星期六,信義店,早上,陰,,拿鐵,咖啡,1,90,90.0
A22129,2026-08-09,星期日,信義店,晚上,晴,M0671,拿鐵,咖啡,1,90,90.0
A21921,2026-08-06,星期四,中壢店,下午,陰,,紅茶,茶飲,2,50,100.0
A22501,2026-08-13,星期四,中壢店,晚上,晴,M1242,拿鐵,咖啡,3,90,270.0
A22830,2026-08-16,星期日,板橋店,早上,陰,,卡布奇諾,咖啡,3,95,285.0
A22183,2026-08-09,星期日,板橋店,下午,晴,M1926,拿鐵,咖啡,1,90,90.0
A23623,2026-08-27,星期四,板橋店,早上,晴,,拿鐵,咖啡,1,90,90.0
A22571,2026-08-14,星期五,板橋店,晚上,晴,M1799,抹茶拿鐵,茶飲,2,100,200.0
A21811,2026-08-05,星期三,板橋店,早上,雨,M0145,可頌,烘焙,1,60,60.0
A23842,2026-08-29,星期六,中壢店,下午,陰,M1010,抹茶拿鐵,茶飲,1,100,100.0
A21881,2026-08-06,星期四,板橋店,早上,陰,M0182,紅茶,茶飲,1,50,50.0
A23882,2026-08-30,星期日,信義店,晚上,晴,M1190,可頌,烘焙,2,60,120.0
A22923,2026-08-17,星期一,中壢店,早上,晴,,美式咖啡,咖啡,2,70,140.0
A23072,2026-08-19,星期三,中壢店,下午,晴,M1612,抹茶拿鐵,茶飲,1,100,100.0
A23754,2026-08-28,星期五,中壢店,早上,晴,,美式咖啡,咖啡,1,70,70.0
A21789,2026-08-05,星期三,信義店,早上,雨,M1755,肉桂捲,烘焙,2,85,170.0
A21615,2026-08-02,星期日,板橋店,下午,陰,,拿鐵,咖啡,2,90,180.0
A23163,2026-08-21,星期五,信義店,早上,陰,M1246,美式咖啡,咖啡,1,70,70.0
A23459,2026-08-24,星期一,中壢店,晚上,晴,M0300,抹茶拿鐵,茶飲,1,100,100.0
A22038,2026/08/08,星期六,信義店,下午,雨,,紅茶,茶飲,1,50,50.0
A22121,2026-08-09,星期日,信義店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A21857,2026-08-06,星期四,信義店,早上,陰,,起司蛋糕,烘焙,1,120,120.0
A22849,2026-08-16,星期日,中壢店,早上,陰,,抹茶拿鐵,茶飲,1,100,100.0
A24008,2026-08-31,星期一,板橋店,早上,晴,M1477,拿鐵,咖啡,2,90,180.0
A23533,2026-08-26,星期三,信義店,晚上,陰,,卡布奇諾,咖啡,2,95,190.0
A21798,20260805,星期三,信義店,下午,雨,M1748,美式咖啡,咖啡,1,70,70.0
A22112,2026-08-09,星期日,信義店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A23047,2026-08-19,星期三,板橋店,早上,晴,M1390,拿鐵,咖啡,1,90,90.0
A22550,2026-08-14,星期五,信義店,早上,晴,M0981,美式咖啡,咖啡,2,70,140.0
A21597,2026-08-02,星期日,信義店,下午,陰,,拿鐵,咖啡,3,90,270.0
A23427,2026-08-24,星期一,信義店,早上,晴,M0339,紅茶,茶飲,1,50,50.0
A22743,2026/08/15,星期六,中壢店,下午,晴,M0726,拿鐵,咖啡,2,90,180.0
A21585,2026-08-02,星期日,信義店,晚上,陰,M1234,可頌,烘焙,1,60,60.0
A23308,2026/08/22,星期六,板橋店,早上,晴,M1084,抹茶拿鐵,茶飲,2,100,200.0
A23969,2026-08-31,星期一,信義店,晚上,晴,M0215,拿鐵,咖啡,1,90,90.0
A23977,2026-08-31,星期一,信義店 ,早上,晴,,美式咖啡,咖啡,1,70,70.0
A23952,2026-08-30,星期日,中壢店,晚上,晴,M0509,可頌,烘焙,1,60,60.0
A22684,2026-08-15,星期六,板橋店,下午,晴,M1440,可頌,烘焙,2,60,120.0
A21697,2026-08-03,星期一,板橋店,下午,晴,,拿鐵,咖啡,3,90,270.0
A22997,2026/08/19,星期三,信義店,下午,晴,,紅茶,茶飲,3,50,150.0
A23583,2026-08-27,星期四,信義店,早上,晴,,卡布奇諾,咖啡,1,95,95.0
A22153,2026-08-09,星期日,信義店,早上,晴,M1263,美式咖啡,咖啡,2,70,140.0
A22774,2026-08-16,星期日,信義店,早上,陰,M1346,抹茶拿鐵,茶飲,1,100,100.0
A22779,2026-08-16,星期日,信義店,早上,陰,M0777,紅茶,茶飲,1,50,50.0
A22144,2026-08-09,星期日,信義店,晚上,晴,M0445,紅茶,茶飲,2,50,100.0
A21751,2026-08-04,星期二,板橋店,早上,雨,M0052,美式咖啡,咖啡,2,70,140.0
A23324,2026-08-22,星期六,板橋店,晚上,晴,M1957,美式咖啡,咖啡,1,70,70.0
A22373,2026/08/12,星期三,信義店,下午,陰,M1484,紅茶,茶飲,2,50,100.0
A21939,2026-08-07,星期五,信義店,下午,晴,,拿鐵,咖啡,2,90,180.0
A22433,2026-08-12,星期三,中壢店,晚上,陰,,卡布奇諾,咖啡,1,95,95.0
A21663,2026-08-03,星期一,信義店,晚上,晴,M1869,拿鐵,咖啡,1,90,90.0
A23839,2026/08/29,星期六,中壢店,早上,陰,M0293,可頌,烘焙,1,60,60.0
A22274,2026-08-10,星期一,板橋店,下午,晴,M0282,可頌,烘焙,1,60,60.0
A22599,2026/08/14,星期五,中壢店,晚上,晴,,美式咖啡,咖啡,2,70,140.0
A22057,2026/08/08,星期六,板橋店,下午,雨,,美式咖啡,咖啡,3,70,210.0
A23992,2026-08-31,星期一,信義店,晚上,晴,M1820,抹茶拿鐵,茶飲,2,100,200.0
A23197,2026-08-21,星期五,板橋店,早上,陰,M0182,拿鐵,咖啡,1,9000,9000.0
A21943,2026-08-07,星期五,信義店,晚上,晴,M0002,紅茶,茶飲,1,50,50.0
A23401,2026-08-23,星期日,中壢店,下午,雨,M1587,拿鐵,咖啡,2,90,180.0
A21926,2026/08/07,星期五,信義店,早上,晴,,紅茶,茶飲,1,50,50.0
A22681,2026-08-15,星期六,信義店,晚上,晴,,拿鐵,咖啡,2,90,180.0
A21780,2026-08-04,星期二,中壢店,早上,雨,,卡布奇諾,咖啡,1,95,95.0
A21503,20260801,星期六,信義店,下午,雨,M0195,肉桂捲,烘焙,1,85,85.0
A22533,2026-08-14,星期五,信義店,下午,晴,M0221,可頌,烘焙,2,60,120.0
A22118,2026-08-09,星期日,信義店,早上,晴,,紅茶,茶飲,5,50,250.0
A23088,2026-08-20,星期四,信義店,早上,晴,M0724,美式咖啡,咖啡,1,70,70.0
A22435,2026/08/12,星期三,中壢店,早上,陰,M0240,拿鐵,咖啡,2,90,180.0
A22372,2026-08-12,星期三,信義店,早上,陰,M1272,可頌,烘焙,1,60,60.0
A22650,2026-08-15,星期六,信義,下午,晴,M1088,起司蛋糕,烘焙,1,120,120.0
A23687,2026-08-28,星期五,信義店,早上,晴,,拿鐵,咖啡,3,90,270.0
A21636,2026-08-02,星期日,中壢店,下午,陰,M1587,拿鐵,咖啡,1,90,90.0
A22802,2026-08-16,星期日,信義店,晚上,陰,M1906,拿鐵,咖啡,1,90,90.0
A21957,2026/08/07,星期五,信義店,早上,晴,,美式咖啡,咖啡,1,70,70.0
A22762,2026-08-15,星期六,中壢店,早上,晴,,美式咖啡,咖啡,3,70,210.0
A23173,2026-08-21,星期五,信義店,下午,陰,,拿鐵,咖啡,1,90,90.0
A21544,2026-08-01,星期六,中壢店,下午,雨,M1189,拿鐵,咖啡,1,90,90.0
A21609,2026-08-02,星期日,板橋店,晚上,陰,,紅茶,茶飲,3,50,150.0
A23194,2026-08-21,星期五,板橋店,早上,陰,M1198,可頌,烘焙,1,60,60.0
A22641,2026-08-15,星期六,信義店,早上,晴,,卡布奇諾,咖啡,3,95,285.0
A22281,2026-08-10,星期一,板橋店,下午,晴,M1899,紅茶,茶飲,3,50,150.0
A22047,2026-08-08,星期六,板橋店,下午,雨,,抹茶拿鐵,茶飲,1,100,100.0
A23086,2026-08-20,星期四,信義店,下午,晴,M0100,卡布奇諾,咖啡,2,95,190.0
A23606,2026/08/27,星期四,信義店,下午,晴,M1071,卡布奇諾,咖啡,1,95,95.0
A23328,2026-08-22,星期六,中壢店,下午,晴,,美式咖啡,咖啡,2,70,140.0
A23507,20260825,星期二,中壢店,下午,雨,,拿鐵,咖啡,1,90,90.0
A21965,2026-08-07,星期五,信義店,早上,晴,,美式咖啡,咖啡,1,70,70.0
A21996,2026-08-07,星期五,板橋店,下午,晴,M1380,拿鐵,咖啡,1,90,90.0
A22797,2026-08-16,星期日,信義店,早上,陰,M0814,起司蛋糕,烘焙,3,120,360.0
A23172,2026-08-21,星期五,信義店,早上,陰,M1058,拿鐵,咖啡,1,90,90.0
A23304,2026-08-22,星期六,板橋店,晚上,晴,,抹茶拿鐵,茶飲,1,100,100.0
A23079,2026-08-20,星期四,信義店,早上,晴,,可頌,烘焙,1,60,60.0
A23352,2026/08/22,星期六,中壢店,晚上,晴,,可頌,烘焙,3,60,180.0
A22902,2026-08-17,星期一,板橋店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23684,2026-08-28,星期五,信義店,早上,晴,,美式咖啡,咖啡,1,70,70.0
A23392,2026-08-23,星期日,板橋店,早上,雨,M1759,卡布奇諾,咖啡,3,95,285.0
A22035,2026-08-08,星期六,信義店,下午,雨,M0032,卡布奇諾,咖啡,1,95,95.0
A23875,2026-08-30,星期日,信義店,下午,晴,,紅茶,茶飲,3,50,150.0
A22626,2026/08/15,星期六,信義店,早上,晴,M1816,美式咖啡,咖啡,1,70,70.0
A23715,2026-08-28,星期五,板橋店,下午,晴,,拿鐵,咖啡,4,90,360.0
A22145,2026-08-09,星期日,信義店,下午,晴,,肉桂捲,烘焙,1,85,85.0
A23651,2026/08/27,星期四,中壢店,早上,晴,,抹茶拿鐵,茶飲,1,100,100.0
A21772,2026-08-04,星期二,中壢店,早上,雨,M0811,美式咖啡,咖啡,1,70,70.0
A21546,2026-08-01,星期六,中壢店,早上,雨,M1959,美式咖啡,咖啡,3,70,210.0
A23945,2026-08-30,星期日,中壢店,早上,晴,,紅茶,茶飲,1,50,50.0
A23350,2026/08/22,星期六,中壢店,早上,晴,,紅茶,茶飲,2,50,100.0
A22500,2026-08-13,星期四,中壢店,下午,晴,,紅茶,茶飲,1,50,50.0
A23199,2026-08-21,星期五,板橋店,早上,陰,M1618,可頌,烘焙,2,60,120.0
A23274,2026-08-22,星期六,信義店,下午,晴,,卡布奇諾,咖啡,3,95,285.0
A22493,2026-08-13,星期四,中壢店,晚上,晴,,美式咖啡,咖啡,1,70,70.0
A21634,2026-08-02,星期日,中壢店,下午,陰,M1578,可頌,烘焙,2,60,120.0
A23914,2026-08-30,星期日,板橋店,晚上,晴,M0997,拿鐵,咖啡,2,90,180.0
A22263,2026-08-10,星期一,信義店,晚上,晴,M1282,起司蛋糕,烘焙,3,120,360.0
A23483,2026-08-25,星期二,信義店,下午,雨,,紅茶,茶飲,1,50,50.0
A23272,2026-08-22,星期六,信義店,下午,晴,M1661,拿鐵,咖啡,3,90,270.0
A21927,2026-08-07,星期五,信義店,下午,晴,,抹茶拿鐵,茶飲,2,100,200.0
A22150,2026-08-09,星期日,信義,下午,晴,M0239,拿鐵,咖啡,1,90,90.0
A22622,2026-08-14,星期五,中壢店,下午,晴,,肉桂捲,烘焙,1,85,85.0
A23670,2026-08-28,星期五,信義店,下午,晴,M0415,紅茶,茶飲,2,50,100.0
A23901,2026-08-30,星期日,板橋店,晚上,晴,M1270,拿鐵,咖啡,2,90,180.0
A23169,2026-08-21,星期五,信義店 ,下午,陰,,拿鐵,咖啡,1,90,90.0
A23283,2026-08-22,星期六,板橋店,下午,晴,,拿鐵,咖啡,2,90,180.0
A22804,2026-08-16,星期日, 信義店,早上,陰,,肉桂捲,烘焙,1,85,85.0
A22800,2026/08/16,星期日,信義店,下午,陰,M1894,起司蛋糕,烘焙,1,120,120.0
A23749,2026-08-28,星期五,中壢店,下午,晴,M1748,美式咖啡,咖啡,3,70,210.0
A21684,2026-08-03,星期一,板橋店,晚上,晴,M1093,拿鐵,咖啡,1,90,90.0
A22109,2026-08-09,星期日,信義店,早上,晴,M1126,美式咖啡,咖啡,1,70,70.0
A23628,2026-08-27,星期四,板橋店,下午,晴,,拿鐵,咖啡,1,90,90.0
A23143,2026-08-21,星期五,信義店,早上,陰,M0107,卡布奇諾,咖啡,1,95,95.0
A23542,2026-08-26,星期三,信義店,早上,陰,,拿鐵,咖啡,3,90,270.0
A23605,2026-08-27,星期四,信義店,下午,晴,,美式咖啡,咖啡,2,70,140.0
A23049,2026-08-19,星期三,板橋店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23075,2026-08-20,星期四,信義店,早上,晴,M0938,拿鐵,咖啡,1,90,90.0
A22400,2026-08-12,星期三,板橋店 ,晚上,陰,M0279,拿鐵,咖啡,2,90,180.0
A21586,2026-08-02,星期日,信義店,早上,陰,,紅茶,茶飲,3,50,150.0
A21820,2026-08-05,星期三,中壢店,下午,雨,M0767,拿鐵,咖啡,2,90,180.0
A22677,2026/08/15,星期六,信義店,早上,晴,M1412,起司蛋糕,烘焙,1,120,120.0
A23451,2026-08-24,星期一,板橋店,下午,晴,,可頌,烘焙,1,60,60.0
A23624,2026/08/27,星期四,板橋店,早上,晴,M1102,美式咖啡,咖啡,2,70,140.0
A23381,2026-08-23,星期日,信義店,晚上,雨,,拿鐵,咖啡,3,90,270.0
A22915,2026-08-17,星期一,板橋店,早上,晴,M0613,拿鐵,咖啡,3,90,270.0
A23940,2026-08-30,星期日,中壢店,下午,晴,M1608,美式咖啡,咖啡,1,70,70.0
A23229,2026-08-21,星期五,中壢店,早上,陰,M0167,抹茶拿鐵,茶飲,2,100,200.0
A22262,2026-08-10,星期一,信義店,早上,晴,,卡布奇諾,咖啡,1,95,95.0
A23854,2026-08-29,星期六,中壢店,晚上,陰,M0804,美式咖啡,咖啡,2,70,140.0
A22656,2026-08-15,星期六,信義店,下午,晴,,拿鐵,咖啡,3,90,270.0
A22578,2026-08-14,星期五, 板橋店,早上,晴,M0685,美式咖啡,咖啡,1,70,70.0
A23604,2026-08-27,星期四,信義店,早上,晴,M0041,拿鐵,咖啡,2,90,180.0
X0002,2026-08-24,星期一,板橋店,早上,晴,M0338,肉桂捲,烘焙,0,85,0.0
A23282,20260822,星期六,板橋店,早上,晴,M0499,卡布奇諾,咖啡,1,95,95.0
A22514,2026-08-14,星期五,信義店,下午,晴,M0730,美式咖啡,咖啡,1,70,70.0
A22913,2026-08-17,星期一,板橋店,早上,晴,M0436,紅茶,茶飲,2,50,100.0
A22975,2026/08/18,星期二,板橋店,早上,陰,,紅茶,茶飲,3,50,150.0
A23652,2026-08-27,星期四,中壢店,早上,晴,M1163,抹茶拿鐵,茶飲,1,100,100.0
A23811,2026-08-29,星期六,板橋店,早上,陰,,抹茶拿鐵,茶飲,1,100,100.0
A22327,2026-08-11,星期二,信義店,早上,雨,,卡布奇諾,咖啡,3,95,285.0
A23488,2026-08-25,星期二,信義店,下午,雨,,抹茶拿鐵,茶飲,1,100,100.0
A23213,20260821,星期五,板橋店,晚上,陰,,拿鐵,咖啡,2,90,180.0
A21822,2026-08-05,星期三,中壢店,早上,雨,,紅茶,茶飲,1,50,50.0
A22549,2026-08-14,星期五,信義店,早上,晴,,可頌,烘焙,1,60,60.0
A22301,2026-08-10,星期一,中壢店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23165,2026-08-21,星期五,信義店,晚上,陰,M1306,美式咖啡,咖啡,1,70,70.0
A21598,2026-08-02,星期日,信義店,下午,陰,,卡布奇諾,咖啡,1,95,95.0
A22206,2026-08-09,星期日,中壢店,下午,晴,,拿鐵,咖啡,3,90,270.0
A22423,2026-08-12,星期三,中壢店,早上,陰,M1288,可頌,烘焙,2,60,120.0
A22000,2026-08-07,星期五,板橋店,下午,晴,,抹茶拿鐵,茶飲,3,100,300.0
A21628,2026-08-02,星期日,板橋店,晚上,陰,M1218,拿鐵,咖啡,2,90,180.0
A23028,2026/08/19,星期三,信義店,晚上,晴,M1955,美式咖啡,咖啡,3,70,210.0
A21899,2026-08-06,星期四,中壢店,下午,陰,,紅茶,茶飲,1,50,50.0
A23894,2026/08/30,星期日,板橋店,早上,晴,,卡布奇諾,咖啡,2,95,190.0
A22807,2026-08-16,星期日,信義店,下午,陰,M1332,抹茶拿鐵,茶飲,2,100,
A23379,2026-08-23,星期日,信義店,下午,雨,M1982,拿鐵,咖啡,2,90,
A23639,2026-08-27,星期四,中壢店,下午,晴,M0449,卡布奇諾,咖啡,2,95,190.0
A22982,2026-08-18,星期二,中壢店,下午,陰,M1279,拿鐵,咖啡,1,90,90.0
A22597,2026-08-14,星期五,中壢店,早上,晴,M0956,肉桂捲,烘焙,2,85,170.0
A23610,2026-08-27,星期四,信義店,晚上,晴,M0898,卡布奇諾,咖啡,1,95,95.0
A23582,2026-08-27,星期四,信義店,下午,晴,M1053,拿鐵,咖啡,1,90,90.0
A22490,2026-08-13,星期四,板橋店,早上,晴,M0497,起司蛋糕,烘焙,1,120,120.0
A22133,2026-08-09,星期日,信義店,早上,晴,M0672,紅茶,茶飲,1,50,50.0
A21763,2026/08/04,星期二,板橋店,下午,雨,,紅茶,茶飲,3,50,150.0
A23449,2026-08-24,星期一,板橋店,下午,晴,M1602,抹茶拿鐵,茶飲,2,100,200.0
A22178,2026-08-09,星期日,板橋店,晚上,晴,M1904,肉桂捲,烘焙,2,85,170.0
A21915,2026-08-06,星期四,中壢店,晚上,陰,M0665,紅茶,茶飲,2,50,100.0
A21714,2026-08-03,星期一,中壢店,早上,晴,,美式咖啡,咖啡,2,70,140.0
A21969,2026-08-07,星期五,板橋店,下午,晴,,起司蛋糕,烘焙,2,120,240.0
A22088,2026-08-08,星期六,中壢店,早上,雨,M0251,起司蛋糕,烘焙,1,120,120.0
A22851,2026-08-16,星期日,中壢店,下午,陰,,紅茶,茶飲,2,50,100.0
A22333,2026-08-11,星期二,板橋店,晚上,雨,,拿鐵,咖啡,1,90,90.0
X0008,2026-08-09,星期日,信義店,下午,晴,,起司蛋糕,烘焙,-1,120,-120.0
A21865,2026-08-06,星期四,信義店,下午,陰,M0213,可頌,烘焙,2,60,120.0
A21864,2026-08-06,星期四,信義店,早上,陰,M0649,可頌,烘焙,1,60,60.0
A23746,2026-08-28,星期五,中壢店,下午,晴,,紅茶,茶飲,3,50,150.0
A23991,2026-08-31,星期一,信義店,早上,晴,M1042,卡布奇諾,咖啡,1,95,95.0
A22935,2026-08-17,星期一,中壢店,晚上,晴,M0518,抹茶拿鐵,茶飲,1,100,100.0
A22172,2026-08-09,星期日,板橋店,晚上,晴,M0137,拿鐵,咖啡,2,90,180.0
A22084,2026-08-08,星期六,中壢店,下午,雨,,抹茶拿鐵,茶飲,3,100,300.0
A24029,2026-08-31,星期一,中壢店,早上,晴,M1412,肉桂捲,烘焙,3,85,255.0
A23948,2026/08/30,星期日,中壢店,早上,晴,,可頌,烘焙,1,60,60.0
A23277,20260822,星期六,信義店,下午,晴,M1750,拿鐵,咖啡,1,90,90.0
A22575,2026-08-14,星期五,板橋店,晚上,晴,,可頌,烘焙,1,60,60.0
A23216,2026-08-21,星期五, 板橋店,晚上,陰,M0744,起司蛋糕,烘焙,1,120,120.0
A22398,20260812,星期三,板橋店,下午,陰,,卡布奇諾,咖啡,1,95,95.0
A21952,2026-08-07,星期五,信義店,早上,晴,,肉桂捲,烘焙,1,85,85.0
A23709,2026-08-28,星期五,板橋店,早上,晴,M1671,紅茶,茶飲,1,50,50.0
A22075,2026-08-08,星期六,板橋店,早上,雨,M0917,抹茶拿鐵,茶飲,1,100,100.0
A22076,2026-08-08,星期六, 板橋店,早上,雨,M1808,卡布奇諾,咖啡,1,95,95.0
A23785,2026-08-29,星期六,信義店,下午,陰,M1651,拿鐵,咖啡,1,90,90.0
A23966,2026/08/31,星期一,信義店,早上,晴,,抹茶拿鐵,茶飲,3,100,300.0
A22340,2026-08-11,星期二,板橋店,下午,雨,,拿鐵,咖啡,1,90,90.0
A22127,2026-08-09,星期日,信義店,晚上,晴,,美式咖啡,咖啡,2,70,140.0
A22369,2026-08-12,星期三,信義店,早上,陰,,可頌,烘焙,2,60,120.0
A23440,2026-08-24,星期一,板橋店,早上,晴,,紅茶,茶飲,2,50,100.0
A21539,2026-08-01,星期六,板橋店,早上,雨,,可頌,烘焙,3,60,180.0
A23398,2026-08-23,星期日,中壢店,下午,雨,,肉桂捲,烘焙,1,85,85.0
A23106,2026-08-20,星期四,板橋店,早上,晴,,紅茶,茶飲,3,50,150.0
A21994,20260807,星期五,板橋店,下午,晴,,美式咖啡,咖啡,1,70,70.0
A22300,2026-08-10,星期一,中壢店,下午,晴,,美式咖啡,咖啡,1,70,70.0
A22840,2026/08/16,星期日,板橋店,早上,陰,M1124,可頌,烘焙,1,60,60.0
A22816,2026-08-16,星期日,板橋店,下午,陰,,美式咖啡,咖啡,2,70,140.0
A23296,2026-08-22,星期六,板橋店,早上,晴,M1755,拿鐵,咖啡,1,90,90.0
A23005,2026/08/19,星期三,信義店,下午,晴,,拿鐵,咖啡,2,90,180.0
A22702,2026-08-15,星期六,板橋店,早上,晴,,可頌,烘焙,1,60,60.0
A22402,2026-08-12,星期三,板橋店,晚上,陰,,美式咖啡,咖啡,2,70,140.0
A21825,2026-08-05,星期三,中壢店,下午,雨,M1394,拿鐵,咖啡,2,90,180.0
A23538,2026-08-26,星期三,信義店,早上,陰,,紅茶,茶飲,1,50,50.0
A22993,20260818,星期二,中壢店,下午,陰,M0871,抹茶拿鐵,茶飲,1,100,100.0
A21838,2026-08-06,星期四,信義店,下午,陰,M1995,卡布奇諾,咖啡,1,95,95.0
A21802,2026-08-05,星期三,板橋店,晚上,雨,M1687,卡布奇諾,咖啡,1,95,95.0
A23941,2026-08-30,星期日,中壢店,下午,晴,M1301,起司蛋糕,烘焙,1,120,120.0
A21786,2026/08/05,星期三,信義店,早上,雨,,卡布奇諾,咖啡,5,95,475.0
A23377,2026-08-23,星期日,信義店,早上,雨,,美式咖啡,咖啡,2,70,140.0
A23976,2026-08-31,星期一,信義店,早上,晴,,拿鐵,咖啡,2,90,180.0
A22660,2026-08-15,星期六,信義店,早上,晴,M1797,紅茶,茶飲,1,50,50.0
A21703,2026-08-03,星期一,板橋店,早上,晴,M1001,肉桂捲,烘焙,2,85,170.0
A22383,2026-08-12,星期三,信義店,下午,陰,M1232,抹茶拿鐵,茶飲,1,100,100.0
A23611,2026-08-27,星期四,信義店,早上,晴,,拿鐵,咖啡,1,90,90.0
A23531,2026-08-26,星期三,信義店,下午,陰,M1432,拿鐵,咖啡,1,90,90.0
