日期,星期,分店,假日,天氣,氣溫,促銷,上週同日營收,營收
2026-04-12,星期日,板橋店,1,陰,23.5,0,3745,2855
2026-04-12,星期日,中壢店,1,陰,23.5,0,2675,4625
2026-04-13,星期一,信義店,0,晴,23.3,0,5165,3725
2026-04-13,星期一,板橋店,0,晴,23.3,0,2050,2720
2026-04-13,星期一,中壢店,0,晴,23.3,0,3435,1175
2026-04-14,星期二,信義店,0,晴,21.6,0,2895,3060
2026-04-14,星期二,板橋店,0,晴,21.6,0,3250,2860
2026-04-14,星期二,中壢店,0,晴,21.6,1,1915,1940
2026-04-15,星期三,信義店,0,陰,23.5,0,3630,2715
2026-04-15,星期三,板橋店,0,陰,23.5,0,1330,2410
2026-04-15,星期三,中壢店,0,陰,23.5,0,1790,2145
2026-04-16,星期四,信義店,0,雨,20.3,0,2335,1825
2026-04-16,星期四,板橋店,0,雨,20.3,0,2530,3640
2026-04-16,星期四,中壢店,0,雨,20.3,0,2810,1690
2026-04-17,星期五,信義店,0,雨,18.9,1,5505,3565
2026-04-17,星期五,板橋店,0,雨,18.9,1,4335,3660
2026-04-17,星期五,中壢店,0,雨,18.9,1,3600,4270
2026-04-18,星期六,信義店,1,陰,22.9,0,7290,5890
2026-04-18,星期六,板橋店,1,陰,22.9,0,5745,4655
2026-04-18,星期六,中壢店,1,陰,22.9,0,5140,5605
2026-04-19,星期日,信義店,1,陰,23.0,0,7690,9425
2026-04-19,星期日,板橋店,1,陰,23.0,0,2855,6320
2026-04-19,星期日,中壢店,1,陰,23.0,0,4625,3735
2026-04-20,星期一,信義店,0,雨,20.9,0,3725,2300
2026-04-20,星期一,板橋店,0,雨,20.9,0,2720,1175
2026-04-20,星期一,中壢店,0,雨,20.9,0,1175,1630
2026-04-21,星期二,信義店,0,晴,26.8,0,3060,4305
2026-04-21,星期二,板橋店,0,晴,26.8,0,2860,3625
2026-04-21,星期二,中壢店,0,晴,26.8,1,1940,3055
2026-04-22,星期三,信義店,0,晴,23.4,0,2715,4705
2026-04-22,星期三,板橋店,0,晴,23.4,0,2410,3285
2026-04-22,星期三,中壢店,0,晴,23.4,0,2145,2535
2026-04-23,星期四,信義店,0,陰,22.6,0,1825,5060
2026-04-23,星期四,板橋店,0,陰,22.6,0,3640,3795
2026-04-23,星期四,中壢店,0,陰,22.6,0,1690,2440
2026-04-24,星期五,信義店,0,陰,22.9,1,3565,4685
2026-04-24,星期五,板橋店,0,陰,22.9,0,3660,3970
2026-04-24,星期五,中壢店,0,陰,22.9,0,4270,3455
2026-04-25,星期六,信義店,1,陰,22.0,0,5890,5770
2026-04-25,星期六,板橋店,1,陰,22.0,0,4655,4875
2026-04-25,星期六,中壢店,1,陰,22.0,0,5605,6015
2026-04-26,星期日,信義店,1,晴,20.8,1,9425,11645
2026-04-26,星期日,板橋店,1,晴,20.8,1,6320,8895
2026-04-26,星期日,中壢店,1,晴,20.8,0,3735,4570
2026-04-27,星期一,信義店,0,晴,25.0,0,2300,2580
2026-04-27,星期一,板橋店,0,晴,25.0,0,1175,2055
2026-04-27,星期一,中壢店,0,晴,25.0,0,1630,1675
2026-04-28,星期二,信義店,0,雨,22.1,1,4305,2770
2026-04-28,星期二,板橋店,0,雨,22.1,0,3625,1465
2026-04-28,星期二,中壢店,0,雨,22.1,0,3055,1290
2026-04-29,星期三,信義店,0,晴,24.5,0,4705,2985
2026-04-29,星期三,板橋店,0,晴,24.5,0,3285,2030
2026-04-29,星期三,中壢店,0,晴,24.5,0,2535,1745
2026-04-30,星期四,信義店,0,雨,25.4,0,5060,3460
2026-04-30,星期四,板橋店,0,雨,25.4,0,3795,3060
2026-04-30,星期四,中壢店,0,雨,25.4,0,2440,2300
2026-05-01,星期五,信義店,1,陰,28.2,0,4685,6190
2026-05-01,星期五,板橋店,1,陰,28.2,1,3970,5820
2026-05-01,星期五,中壢店,1,陰,28.2,0,3455,3640
2026-05-02,星期六,信義店,1,陰,24.6,0,5770,9045
2026-05-02,星期六,板橋店,1,陰,24.6,0,4875,5595
2026-05-02,星期六,中壢店,1,陰,24.6,0,6015,6960
2026-05-03,星期日,信義店,1,晴,23.4,0,11645,8845
2026-05-03,星期日,板橋店,1,晴,23.4,0,8895,4955
2026-05-03,星期日,中壢店,1,晴,23.4,0,4570,3725
2026-05-04,星期一,信義店,0,晴,25.4,0,2580,4385
2026-05-04,星期一,板橋店,0,晴,25.4,1,2055,2400
2026-05-04,星期一,中壢店,0,晴,25.4,0,1675,1970
2026-05-05,星期二,信義店,0,雨,21.5,0,2770,1685
2026-05-05,星期二,板橋店,0,雨,21.5,0,1465,2240
2026-05-05,星期二,中壢店,0,雨,21.5,0,1290,2215
2026-05-06,星期三,信義店,0,陰,27.2,0,2985,5395
2026-05-06,星期三,板橋店,0,陰,27.2,0,2030,2135
2026-05-06,星期三,中壢店,0,陰,27.2,0,1745,2315
2026-05-07,星期四,信義店,0,晴,25.7,0,3460,4720
2026-05-07,星期四,板橋店,0,晴,25.7,0,3060,3390
2026-05-07,星期四,中壢店,0,晴,25.7,0,2300,3940
2026-05-08,星期五,信義店,0,雨,22.3,0,6190,4870
2026-05-08,星期五,板橋店,0,雨,22.3,1,5820,2695
2026-05-08,星期五,中壢店,0,雨,22.3,0,3640,1530
2026-05-09,星期六,信義店,1,雨,24.1,0,9045,5490
2026-05-09,星期六,板橋店,1,雨,24.1,1,5595,4415
2026-05-09,星期六,中壢店,1,雨,24.1,0,6960,1910
2026-05-10,星期日,信義店,1,陰,25.9,1,8845,11935
2026-05-10,星期日,板橋店,1,陰,25.9,0,4955,7665
2026-05-10,星期日,中壢店,1,陰,25.9,0,3725,5330
2026-05-11,星期一,信義店,0,雨,23.1,0,4385,3310
2026-05-11,星期一,板橋店,0,雨,23.1,0,2400,1960
2026-05-11,星期一,中壢店,0,雨,23.1,0,1970,945
2026-05-12,星期二,信義店,0,陰,24.2,0,1685,2720
2026-05-12,星期二,板橋店,0,陰,24.2,0,2240,3630
2026-05-12,星期二,中壢店,0,陰,24.2,0,2215,1945
2026-05-13,星期三,信義店,0,雨,21.7,0,5395,2155
2026-05-13,星期三,板橋店,0,雨,21.7,0,2135,2060
2026-05-13,星期三,中壢店,0,雨,21.7,1,2315,2875
2026-05-14,星期四,信義店,0,雨,19.6,0,4720,3190
2026-05-14,星期四,板橋店,0,雨,19.6,0,3390,2075
2026-05-14,星期四,中壢店,0,雨,19.6,0,3940,2480
2026-05-15,星期五,信義店,0,雨,21.5,0,4870,2125
2026-05-15,星期五,板橋店,0,雨,21.5,0,2695,2200
2026-05-15,星期五,中壢店,0,雨,21.5,0,1530,2805
2026-05-16,星期六,信義店,1,晴,26.5,0,5490,6860
2026-05-16,星期六,板橋店,1,晴,26.5,1,4415,7095
2026-05-16,星期六,中壢店,1,晴,26.5,0,1910,5045
2026-05-17,星期日,信義店,1,陰,28.6,0,11935,7810
2026-05-17,星期日,板橋店,1,陰,28.6,0,7665,6895
2026-05-17,星期日,中壢店,1,陰,28.6,0,5330,3695
2026-05-18,星期一,信義店,0,陰,24.3,0,3310,2850
2026-05-18,星期一,板橋店,0,陰,24.3,1,1960,2155
2026-05-18,星期一,中壢店,0,陰,24.3,0,945,1615
2026-05-19,星期二,信義店,0,陰,23.4,0,2720,3535
2026-05-19,星期二,板橋店,0,陰,23.4,0,3630,3155
2026-05-19,星期二,中壢店,0,陰,23.4,0,1945,900
2026-05-20,星期三,信義店,0,晴,23.6,0,2155,2410
2026-05-20,星期三,板橋店,0,晴,23.6,0,2060,2710
2026-05-20,星期三,中壢店,0,晴,23.6,0,2875,2115
2026-05-21,星期四,信義店,0,雨,21.7,0,3190,2995
2026-05-21,星期四,板橋店,0,雨,21.7,0,2075,2445
2026-05-21,星期四,中壢店,0,雨,21.7,0,2480,2350
2026-05-22,星期五,信義店,0,晴,27.0,0,2125,2920
2026-05-22,星期五,板橋店,0,晴,27.0,0,2200,3805
2026-05-22,星期五,中壢店,0,晴,27.0,0,2805,1910
2026-05-23,星期六,信義店,1,陰,23.5,0,6860,6440
2026-05-23,星期六,板橋店,1,陰,23.5,0,7095,5865
2026-05-23,星期六,中壢店,1,陰,23.5,0,5045,3575
2026-05-24,星期日,信義店,1,晴,29.1,0,7810,7770
2026-05-24,星期日,板橋店,1,晴,29.1,0,6895,4500
2026-05-24,星期日,中壢店,1,晴,29.1,0,3695,5060
2026-05-25,星期一,信義店,0,雨,26.3,0,2850,2935
2026-05-25,星期一,板橋店,0,雨,26.3,0,2155,1060
2026-05-25,星期一,中壢店,0,雨,26.3,0,1615,2060
2026-05-26,星期二,信義店,0,雨,21.3,0,3535,2310
2026-05-26,星期二,板橋店,0,雨,21.3,0,3155,2030
2026-05-26,星期二,中壢店,0,雨,21.3,0,900,1700
2026-05-27,星期三,信義店,0,陰,27.1,0,2410,4280
2026-05-27,星期三,板橋店,0,陰,27.1,0,2710,2255
2026-05-27,星期三,中壢店,0,陰,27.1,0,2115,2375
2026-05-28,星期四,信義店,0,雨,24.1,0,2995,2420
2026-05-28,星期四,板橋店,0,雨,24.1,0,2445,2580
2026-05-28,星期四,中壢店,0,雨,24.1,0,2350,2220
2026-05-29,星期五,信義店,0,晴,25.8,0,2920,2770
2026-05-29,星期五,板橋店,0,晴,25.8,1,3805,3555
2026-05-29,星期五,中壢店,0,晴,25.8,0,1910,4255
2026-05-30,星期六,信義店,1,陰,24.9,0,6440,7200
2026-05-30,星期六,板橋店,1,陰,24.9,0,5865,5600
2026-05-30,星期六,中壢店,1,陰,24.9,0,3575,3870
2026-05-31,星期日,信義店,1,雨,22.8,0,7770,3355
2026-05-31,星期日,板橋店,1,雨,22.8,0,4500,3220
2026-05-31,星期日,中壢店,1,雨,22.8,0,5060,2080
2026-06-01,星期一,信義店,0,雨,25.1,0,2935,2980
2026-06-01,星期一,板橋店,0,雨,25.1,0,1060,2255
2026-06-01,星期一,中壢店,0,雨,25.1,1,2060,1525
2026-06-02,星期二,信義店,0,晴,32.4,0,2310,3895
2026-06-02,星期二,板橋店,0,晴,32.4,0,2030,2520
2026-06-02,星期二,中壢店,0,晴,32.4,0,1700,2215
2026-06-03,星期三,信義店,0,陰,30.4,0,4280,4900
2026-06-03,星期三,板橋店,0,陰,30.4,0,2255,3165
2026-06-03,星期三,中壢店,0,陰,30.4,0,2375,2870
2026-06-04,星期四,信義店,0,雨,28.9,0,2420,4440
2026-06-04,星期四,板橋店,0,雨,28.9,0,2580,2350
2026-06-04,星期四,中壢店,0,雨,28.9,0,2220,945
2026-06-05,星期五,信義店,0,雨,26.5,0,2770,1765
2026-06-05,星期五,板橋店,0,雨,26.5,0,3555,3375
2026-06-05,星期五,中壢店,0,雨,26.5,1,4255,4935
2026-06-06,星期六,信義店,1,陰,30.3,0,7200,7730
2026-06-06,星期六,板橋店,1,陰,30.3,0,5600,6690
2026-06-06,星期六,中壢店,1,陰,30.3,0,3870,4780
2026-06-07,星期日,信義店,1,陰,28.6,0,3355,7230
2026-06-07,星期日,板橋店,1,陰,28.6,0,3220,4285
2026-06-07,星期日,中壢店,1,陰,28.6,0,2080,4430
2026-06-08,星期一,信義店,0,雨,27.8,0,2980,1445
2026-06-08,星期一,板橋店,0,雨,27.8,0,2255,2115
2026-06-08,星期一,中壢店,0,雨,27.8,0,1525,1925
2026-06-09,星期二,信義店,0,雨,27.3,0,3895,2625
2026-06-09,星期二,板橋店,0,雨,27.3,1,2520,4320
2026-06-09,星期二,中壢店,0,雨,27.3,0,2215,1265
2026-06-10,星期三,信義店,0,雨,28.1,0,4900,2850
2026-06-10,星期三,板橋店,0,雨,28.1,0,3165,1205
2026-06-10,星期三,中壢店,0,雨,28.1,0,2870,1815
2026-06-11,星期四,信義店,0,雨,25.9,0,4440,2660
2026-06-11,星期四,板橋店,0,雨,25.9,0,2350,3005
2026-06-11,星期四,中壢店,0,雨,25.9,0,945,3080
2026-06-12,星期五,信義店,0,陰,28.8,0,1765,4080
2026-06-12,星期五,板橋店,0,陰,28.8,0,3375,2380
2026-06-12,星期五,中壢店,0,陰,28.8,0,4935,4320
2026-06-13,星期六,信義店,1,雨,27.2,0,7730,3800
2026-06-13,星期六,板橋店,1,雨,27.2,1,6690,5100
2026-06-13,星期六,中壢店,1,雨,27.2,0,4780,3600
2026-06-14,星期日,信義店,1,雨,24.5,0,7230,4620
2026-06-14,星期日,板橋店,1,雨,24.5,0,4285,1565
2026-06-14,星期日,中壢店,1,雨,24.5,0,4430,3265
2026-06-15,星期一,信義店,0,雨,26.8,0,1445,1970
2026-06-15,星期一,板橋店,0,雨,26.8,0,2115,1125
2026-06-15,星期一,中壢店,0,雨,26.8,0,1925,650
2026-06-16,星期二,信義店,0,雨,30.3,0,2625,2095
2026-06-16,星期二,板橋店,0,雨,30.3,1,4320,3140
2026-06-16,星期二,中壢店,0,雨,30.3,0,1265,1180
2026-06-17,星期三,信義店,0,晴,31.9,0,2850,6045
2026-06-17,星期三,板橋店,0,晴,31.9,0,1205,4020
2026-06-17,星期三,中壢店,0,晴,31.9,0,1815,3275
2026-06-18,星期四,信義店,0,雨,30.5,0,2660,3190
2026-06-18,星期四,板橋店,0,雨,30.5,0,3005,2840
2026-06-18,星期四,中壢店,0,雨,30.5,0,3080,1735
2026-06-19,星期五,信義店,1,晴,28.0,0,4080,5385
2026-06-19,星期五,板橋店,1,晴,28.0,0,2380,5615
2026-06-19,星期五,中壢店,1,晴,28.0,0,4320,4145
2026-06-20,星期六,信義店,1,雨,28.9,0,3800,3195
2026-06-20,星期六,板橋店,1,雨,28.9,0,5100,4225
2026-06-20,星期六,中壢店,1,雨,28.9,0,3600,1945
2026-06-21,星期日,信義店,1,雨,26.7,0,4620,4045
2026-06-21,星期日,板橋店,1,雨,26.7,0,1565,3880
2026-06-21,星期日,中壢店,1,雨,26.7,0,3265,2805
2026-06-22,星期一,信義店,0,雨,28.1,1,1970,2330
2026-06-22,星期一,板橋店,0,雨,28.1,0,1125,1080
2026-06-22,星期一,中壢店,0,雨,28.1,0,650,2715
2026-06-23,星期二,信義店,0,雨,24.0,0,2095,2320
2026-06-23,星期二,板橋店,0,雨,24.0,0,3140,1385
2026-06-23,星期二,中壢店,0,雨,24.0,1,1180,2205
2026-06-24,星期三,信義店,0,陰,29.9,0,6045,3330
2026-06-24,星期三,板橋店,0,陰,29.9,0,4020,3150
2026-06-24,星期三,中壢店,0,陰,29.9,0,3275,2420
2026-06-25,星期四,信義店,0,陰,25.8,0,3190,5125
2026-06-25,星期四,板橋店,0,陰,25.8,0,2840,2225
2026-06-25,星期四,中壢店,0,陰,25.8,0,1735,1590
2026-06-26,星期五,信義店,0,雨,27.5,1,5385,2790
2026-06-26,星期五,板橋店,0,雨,27.5,0,5615,2035
2026-06-26,星期五,中壢店,0,雨,27.5,0,4145,2510
2026-06-27,星期六,信義店,1,雨,27.3,0,3195,3685
2026-06-27,星期六,板橋店,1,雨,27.3,0,4225,3470
2026-06-27,星期六,中壢店,1,雨,27.3,0,1945,1945
2026-06-28,星期日,信義店,1,晴,30.6,0,4045,7600
2026-06-28,星期日,板橋店,1,晴,30.6,1,3880,11635
2026-06-28,星期日,中壢店,1,晴,30.6,0,2805,7260
2026-06-29,星期一,信義店,0,雨,24.4,0,2330,2245
2026-06-29,星期一,板橋店,0,雨,24.4,0,1080,2080
2026-06-29,星期一,中壢店,0,雨,24.4,0,2715,1865
2026-06-30,星期二,信義店,0,晴,27.4,0,2320,3730
2026-06-30,星期二,板橋店,0,晴,27.4,1,1385,2835
2026-06-30,星期二,中壢店,0,晴,27.4,0,2205,1810
2026-07-01,星期三,信義店,0,陰,33.2,0,3330,4065
2026-07-01,星期三,板橋店,0,陰,33.2,0,3150,3945
2026-07-01,星期三,中壢店,0,陰,33.2,0,2420,2520
2026-07-02,星期四,信義店,0,雨,31.5,0,5125,2110
2026-07-02,星期四,板橋店,0,雨,31.5,1,2225,3260
2026-07-02,星期四,中壢店,0,雨,31.5,0,1590,2420
2026-07-03,星期五,信義店,0,陰,30.6,0,2790,3705
2026-07-03,星期五,板橋店,0,陰,30.6,0,2035,5055
2026-07-03,星期五,中壢店,0,陰,30.6,0,2510,3230
2026-07-04,星期六,信義店,1,雨,31.5,0,3685,5050
2026-07-04,星期六,板橋店,1,雨,31.5,0,3470,5065
2026-07-04,星期六,中壢店,1,雨,31.5,0,1945,1980
2026-07-05,星期日,信義店,1,陰,31.5,0,7600,5185
2026-07-05,星期日,板橋店,1,陰,31.5,0,11635,4915
2026-07-05,星期日,中壢店,1,陰,31.5,0,7260,4975
2026-07-06,星期一,信義店,0,陰,34.1,0,2245,4715
2026-07-06,星期一,板橋店,0,陰,34.1,0,2080,1945
2026-07-06,星期一,中壢店,0,陰,34.1,0,1865,2815
2026-07-07,星期二,信義店,0,陰,29.7,0,3730,3225
2026-07-07,星期二,板橋店,0,陰,29.7,0,2835,3860
2026-07-07,星期二,中壢店,0,陰,29.7,0,1810,1660
2026-07-08,星期三,信義店,0,雨,28.4,0,4065,3905
2026-07-08,星期三,板橋店,0,雨,28.4,0,3945,2410
2026-07-08,星期三,中壢店,0,雨,28.4,0,2520,1205
2026-07-09,星期四,信義店,0,雨,29.4,0,2110,1720
2026-07-09,星期四,板橋店,0,雨,29.4,0,3260,1270
2026-07-09,星期四,中壢店,0,雨,29.4,0,2420,1745
2026-07-10,星期五,信義店,0,陰,31.3,0,3705,5160
2026-07-10,星期五,板橋店,0,陰,31.3,0,5055,4335
2026-07-10,星期五,中壢店,0,陰,31.3,0,3230,2725
2026-07-11,星期六,信義店,1,晴,29.6,0,5050,7800
2026-07-11,星期六,板橋店,1,晴,29.6,0,5065,7945
2026-07-11,星期六,中壢店,1,晴,29.6,0,1980,6130
2026-07-12,星期日,信義店,1,晴,31.5,0,5185,6485
2026-07-12,星期日,板橋店,1,晴,31.5,0,4915,5690
2026-07-12,星期日,中壢店,1,晴,31.5,1,4975,6575
2026-07-13,星期一,信義店,0,雨,29.5,0,4715,2905
2026-07-13,星期一,板橋店,0,雨,29.5,0,1945,1955
2026-07-13,星期一,中壢店,0,雨,29.5,0,2815,1735
2026-07-14,星期二,信義店,0,晴,33.5,0,3225,5480
2026-07-14,星期二,板橋店,0,晴,33.5,1,3860,3360
2026-07-14,星期二,中壢店,0,晴,33.5,0,1660,3850
2026-07-15,星期三,信義店,0,陰,29.5,0,3905,4245
2026-07-15,星期三,板橋店,0,陰,29.5,0,2410,3130
2026-07-15,星期三,中壢店,0,陰,29.5,0,1205,2200
2026-07-16,星期四,信義店,0,晴,33.8,0,1720,5435
2026-07-16,星期四,板橋店,0,晴,33.8,0,1270,3735
2026-07-16,星期四,中壢店,0,晴,33.8,0,1745,4380
2026-07-17,星期五,信義店,0,晴,31.5,1,5160,7780
2026-07-17,星期五,板橋店,0,晴,31.5,0,4335,4330
2026-07-17,星期五,中壢店,0,晴,31.5,0,2725,3770
2026-07-18,星期六,信義店,1,晴,28.6,0,7800,7755
2026-07-18,星期六,板橋店,1,晴,28.6,0,7945,5965
2026-07-18,星期六,中壢店,1,晴,28.6,0,6130,6440
2026-07-19,星期日,信義店,1,晴,32.9,0,6485,7620
2026-07-19,星期日,板橋店,1,晴,32.9,0,5690,10105
2026-07-19,星期日,中壢店,1,晴,32.9,0,6575,5190
2026-07-20,星期一,信義店,0,陰,32.1,0,2905,2525
2026-07-20,星期一,板橋店,0,陰,32.1,0,1955,3440
2026-07-20,星期一,中壢店,0,陰,32.1,0,1735,1935
2026-07-21,星期二,信義店,0,雨,30.1,0,5480,2270
2026-07-21,星期二,板橋店,0,雨,30.1,0,3360,1455
2026-07-21,星期二,中壢店,0,雨,30.1,0,3850,1485
2026-07-22,星期三,信義店,0,晴,33.7,0,4245,5660
2026-07-22,星期三,板橋店,0,晴,33.7,0,3130,4590
2026-07-22,星期三,中壢店,0,晴,33.7,0,2200,5765
2026-07-23,星期四,信義店,0,陰,26.6,0,5435,4445
2026-07-23,星期四,板橋店,0,陰,26.6,0,3735,2750
2026-07-23,星期四,中壢店,0,陰,26.6,0,4380,2935
2026-07-24,星期五,信義店,0,晴,32.7,0,7780,5490
2026-07-24,星期五,板橋店,0,晴,32.7,0,4330,4335
2026-07-24,星期五,中壢店,0,晴,32.7,0,3770,3180
2026-07-25,星期六,信義店,1,雨,29.9,0,7755,4655
2026-07-25,星期六,板橋店,1,雨,29.9,0,5965,3125
2026-07-25,星期六,中壢店,1,雨,29.9,0,6440,4300
2026-07-26,星期日,信義店,1,雨,26.4,0,7620,3710
2026-07-26,星期日,板橋店,1,雨,26.4,1,10105,3820
2026-07-26,星期日,中壢店,1,雨,26.4,0,5190,2605
2026-07-27,星期一,信義店,0,雨,27.7,0,2525,1665
2026-07-27,星期一,板橋店,0,雨,27.7,0,3440,1320
2026-07-27,星期一,中壢店,0,雨,27.7,0,1935,1030
