會員編號,性別,年齡,加入月數,來店次數,平均消費,距上次來店天數,會員等級,電子報,住家距離,最愛類別,回購
M0107,女,72,26,13,154,6,金卡,0,4.7,咖啡,1
M0108,男,69,4,4,215,12,一般,1,1.8,咖啡,0
M0109,女,69,5,5,125,2,一般,1,5.0,咖啡,1
M0110,女,53,9,23,78,4,銀卡,0,4.5,咖啡,1
M0111,男,56,8,2,166,90,一般,0,1.2,茶飲,0
M0112,男,65,12,5,270,0,銀卡,0,12.1,烘焙,0
M0113,女,53,21,10,153,6,銀卡,1,1.5,茶飲,1
M0114,女,72,13,8,130,16,銀卡,0,2.3,茶飲,0
M0115,女,49,1,2,235,34,一般,0,3.0,烘焙,0
M0116,男,63,13,6,158,61,銀卡,0,3.4,咖啡,0
M0117,女,59,28,6,142,46,銀卡,1,1.5,咖啡,0
M0118,女,45,11,7,92,8,銀卡,0,0.9,咖啡,0
M0119,男,48,29,6,232,46,銀卡,1,4.6,咖啡,0
M0120,女,54,3,3,86,7,一般,1,1.4,咖啡,0
M0121,男,72,22,14,205,4,金卡,0,1.0,咖啡,0
M0122,女,41,5,17,138,1,一般,0,3.4,咖啡,1
M0123,男,72,25,1,180,30,一般,1,1.6,茶飲,1
M0124,女,72,20,3,169,11,一般,1,0.8,烘焙,1
M0125,男,53,19,7,162,7,銀卡,0,1.9,咖啡,1
M0126,男,39,29,25,124,7,金卡,0,3.2,咖啡,1
M0127,女,51,27,6,267,10,銀卡,0,1.9,咖啡,0
M0128,女,55,7,17,145,0,銀卡,0,4.8,茶飲,1
M0129,男,61,20,5,168,12,銀卡,1,4.0,烘焙,0
M0130,女,54,27,14,108,4,金卡,0,2.1,茶飲,1
M0131,女,67,28,8,102,14,銀卡,0,8.8,茶飲,0
M0132,女,50,22,3,131,80,一般,1,8.1,咖啡,0
M0133,男,53,24,6,113,31,銀卡,0,2.2,咖啡,0
M0134,女,39,18,4,168,53,一般,1,2.9,咖啡,0
M0135,男,53,5,16,254,3,一般,0,3.3,茶飲,0
M0136,女,54,12,6,133,39,銀卡,1,1.8,咖啡,0
M0137,女,50,5,14,209,13,一般,0,1.1,咖啡,1
M0138,女,57,15,16,81,15,銀卡,0,2.5,茶飲,0
M0139,女,66,28,8,144,0,銀卡,0,1.8,咖啡,1
M0140,女,50,26,3,139,47,一般,1,2.1,咖啡,0
M0141,男,45,34,10,217,0,銀卡,0,6.6,咖啡,0
M0142,女,39,11,7,229,32,銀卡,1,3.7,烘焙,0
M0143,女,72,15,2,168,71,一般,1,0.7,咖啡,0
M0144,女,72,15,7,150,16,銀卡,1,1.6,茶飲,1
M0145,男,59,23,21,169,6,金卡,1,3.2,咖啡,1
M0146,男,61,29,18,64,11,金卡,1,2.4,茶飲,1
M0147,男,59,24,7,212,6,銀卡,1,1.3,咖啡,1
M0148,女,62,26,3,182,4,一般,0,10.2,咖啡,0
M0149,女,59,12,2,146,45,一般,1,7.3,茶飲,0
M0150,女,55,4,8,115,10,一般,1,1.5,咖啡,0
M0151,男,53,19,17,190,0,金卡,1,1.5,茶飲,1
M0152,男,47,6,10,244,0,銀卡,1,2.1,茶飲,1
M0153,男,72,14,3,103,13,一般,1,1.2,烘焙,0
M0154,女,56,26,5,168,33,銀卡,0,2.4,咖啡,0
M0155,女,59,28,18,180,3,金卡,1,6.1,茶飲,1
M0156,男,45,33,31,231,13,金卡,0,1.7,烘焙,1
M0157,男,45,17,10,89,11,銀卡,0,8.8,茶飲,0
M0158,男,61,5,13,161,24,一般,0,1.8,茶飲,1
M0159,男,59,20,1,145,90,一般,1,4.5,茶飲,0
M0160,女,66,26,3,163,32,一般,0,19.5,咖啡,0
M0161,男,52,31,1,249,38,一般,1,2.1,烘焙,0
M0162,男,51,17,5,164,42,銀卡,1,3.3,咖啡,0
M0163,女,64,8,0,138,57,一般,1,3.5,咖啡,0
M0164,女,46,14,3,160,65,一般,1,7.8,咖啡,0
M0165,女,55,30,8,138,13,銀卡,1,2.8,咖啡,1
M0166,女,57,6,9,135,7,銀卡,0,2.2,咖啡,0
M0167,女,51,20,12,149,3,金卡,1,2.5,咖啡,0
M0168,女,60,14,9,122,13,銀卡,1,3.0,咖啡,0
M0169,女,54,11,8,169,20,銀卡,0,10.2,咖啡,0
M0170,女,72,31,10,236,11,銀卡,0,5.2,茶飲,1
M0171,男,52,21,3,165,26,一般,0,1.9,茶飲,0
M0172,女,56,13,15,158,14,銀卡,0,6.8,咖啡,0
M0173,男,47,14,18,196,8,銀卡,1,3.3,咖啡,1
M0174,女,53,25,17,122,2,金卡,0,4.6,咖啡,1
M0175,男,58,8,9,142,10,銀卡,1,3.3,烘焙,1
M0176,女,61,34,6,283,8,銀卡,0,1.9,咖啡,1
M0177,女,67,25,7,100,0,銀卡,1,4.8,茶飲,1
M0178,女,65,13,9,90,0,銀卡,0,1.3,咖啡,1
M0179,女,54,35,15,130,10,金卡,0,1.6,烘焙,1
M0180,男,53,4,3,154,22,一般,0,3.1,茶飲,1
M0181,男,40,1,6,117,23,一般,0,1.8,咖啡,1
M0182,男,57,16,10,162,5,銀卡,1,12.1,茶飲,0
M0183,女,62,34,3,119,23,一般,0,1.4,烘焙,0
M0184,男,55,8,9,209,1,銀卡,0,6.7,咖啡,1
M0185,女,53,18,5,159,7,銀卡,0,3.0,茶飲,0
M0186,男,72,31,4,148,9,一般,1,3.3,咖啡,0
M0187,女,53,19,3,102,90,一般,1,0.7,咖啡,0
M0188,女,69,15,5,135,44,銀卡,1,3.4,咖啡,0
M0189,女,60,8,6,104,6,銀卡,0,3.9,茶飲,1
M0190,女,51,5,8,169,1,一般,1,2.5,烘焙,0
M0191,女,54,16,7,160,5,銀卡,0,4.3,茶飲,1
M0192,女,61,4,5,117,13,一般,1,2.1,咖啡,0
M0193,男,59,4,2,245,77,一般,1,3.3,茶飲,0
M0194,女,63,2,24,82,19,一般,1,4.5,烘焙,1
M0195,男,55,23,15,143,4,金卡,0,2.1,茶飲,1
M0196,男,42,1,8,195,2,一般,0,6.1,烘焙,0
M0197,男,38,11,7,167,8,銀卡,1,1.1,咖啡,1
M0198,女,49,22,17,165,17,金卡,1,3.8,烘焙,1
M0199,男,52,4,6,149,23,一般,1,1.9,烘焙,1
M0200,男,37,16,11,293,7,銀卡,1,3.0,烘焙,1
M0201,女,52,1,1,177,43,一般,0,2.5,烘焙,0
M0202,女,66,25,5,140,6,銀卡,0,1.5,咖啡,0
M0203,女,63,5,14,139,19,一般,1,1.3,烘焙,0
M0204,男,45,7,11,80,4,銀卡,0,3.1,咖啡,1
M0205,女,54,13,7,188,19,銀卡,1,2.0,咖啡,0
M0206,男,43,16,12,113,9,銀卡,0,2.1,茶飲,1
M0207,女,47,32,13,222,26,金卡,1,3.0,茶飲,1
M0208,女,55,20,4,121,43,一般,0,3.1,咖啡,0
M0209,女,37,28,11,96,5,銀卡,1,3.3,咖啡,0
M0210,女,66,10,5,130,66,銀卡,0,1.5,茶飲,0
M0211,女,56,9,2,181,19,一般,0,1.2,咖啡,1
M0212,女,72,21,4,160,55,一般,1,1.4,咖啡,0
M0213,女,45,15,9,214,6,銀卡,1,1.7,茶飲,1
M0214,女,53,17,6,154,24,銀卡,0,2.4,咖啡,0
M0215,男,53,17,7,227,8,銀卡,1,3.3,咖啡,1
M0216,女,65,24,6,132,17,銀卡,0,4.1,茶飲,0
M0217,女,55,28,5,142,81,銀卡,1,3.4,咖啡,0
M0218,男,56,11,19,179,4,銀卡,0,2.8,烘焙,0
M0219,女,37,32,10,136,30,銀卡,0,4.1,咖啡,1
M0220,女,72,31,18,223,5,金卡,1,9.2,烘焙,1
M0221,女,50,30,18,156,0,金卡,0,6.0,茶飲,1
M0222,男,54,29,9,183,27,銀卡,0,2.5,咖啡,0
M0223,男,46,1,28,182,13,一般,0,3.9,烘焙,1
M0224,男,58,22,3,143,13,一般,0,5.9,茶飲,0
M0225,男,72,28,3,231,5,一般,0,3.1,咖啡,0
M0226,男,70,21,4,177,1,一般,0,2.1,烘焙,1
M0227,女,56,1,10,182,13,一般,0,2.4,茶飲,0
M0228,男,72,4,12,95,8,一般,0,1.0,茶飲,1
M0229,男,55,5,20,199,2,一般,1,0.8,咖啡,1
M0230,男,60,31,5,112,40,銀卡,0,3.6,咖啡,0
M0231,女,53,32,9,200,58,銀卡,1,5.1,茶飲,0
M0232,女,44,34,17,116,2,金卡,0,2.7,茶飲,1
M0233,女,68,6,5,213,42,銀卡,0,1.2,烘焙,0
M0234,女,44,9,2,173,11,一般,0,3.1,茶飲,0
M0235,女,53,2,6,152,16,一般,1,1.2,咖啡,1
M0236,男,59,26,6,164,1,銀卡,1,2.2,咖啡,1
M0237,女,54,8,2,167,38,一般,0,1.9,咖啡,0
M0238,女,38,24,11,219,3,銀卡,1,1.5,咖啡,1
M0239,男,38,2,28,171,12,一般,0,1.0,烘焙,1
M0240,女,68,3,5,242,11,一般,1,5.4,咖啡,1
M0241,男,55,6,8,235,2,銀卡,0,4.8,烘焙,0
M0242,女,72,3,3,176,67,一般,1,3.1,咖啡,0
M0243,男,49,18,8,179,7,銀卡,1,1.5,烘焙,1
M0244,男,68,9,10,153,2,銀卡,0,1.0,咖啡,1
M0245,男,42,36,2,196,56,一般,0,1.3,咖啡,0
M0246,男,72,26,12,175,31,金卡,1,1.8,咖啡,0
M0247,女,58,32,10,227,5,銀卡,0,1.8,咖啡,1
M0248,女,61,6,4,113,90,一般,1,2.4,咖啡,0
M0249,男,29,24,5,260,46,銀卡,0,4.5,茶飲,0
M0250,男,48,11,10,129,29,銀卡,0,2.9,茶飲,0
M0251,男,67,12,12,211,29,銀卡,1,2.3,茶飲,1
M0252,女,50,9,20,136,0,銀卡,0,0.6,咖啡,0
M0253,男,69,5,5,271,9,一般,0,2.9,咖啡,0
M0254,男,49,27,5,83,0,銀卡,0,1.4,咖啡,0
M0255,男,49,24,7,234,7,銀卡,0,7.5,茶飲,0
M0256,男,39,25,2,181,37,一般,1,1.9,茶飲,0
M0257,女,61,12,2,144,90,一般,0,3.0,茶飲,0
M0258,女,46,35,21,135,0,金卡,1,9.5,咖啡,1
M0259,男,72,5,5,168,24,一般,1,1.3,茶飲,1
M0260,女,69,8,5,142,1,銀卡,1,10.3,咖啡,0
M0261,男,58,19,2,148,13,一般,1,5.4,烘焙,1
M0262,女,57,9,14,199,8,銀卡,1,2.4,咖啡,1
M0263,男,41,36,10,91,14,銀卡,0,1.4,茶飲,1
M0264,男,72,1,14,190,2,一般,1,2.5,咖啡,1
M0265,女,62,10,10,146,21,銀卡,0,2.1,茶飲,0
M0266,女,44,26,8,168,9,銀卡,0,8.5,咖啡,0
M0267,女,61,10,11,206,42,銀卡,0,3.8,咖啡,0
M0268,女,63,34,13,111,3,金卡,0,6.4,烘焙,1
M0269,女,45,31,6,241,16,銀卡,1,0.9,茶飲,0
M0270,女,72,15,4,323,19,一般,1,4.2,茶飲,0
M0271,女,44,17,6,240,24,銀卡,0,2.1,烘焙,0
M0272,女,48,23,4,182,52,一般,1,3.0,咖啡,0
M0273,女,63,11,8,76,13,銀卡,1,3.4,烘焙,1
M0274,男,46,1,7,175,10,一般,1,13.7,咖啡,0
M0275,女,57,4,7,214,28,一般,1,1.6,咖啡,0
M0276,女,54,31,6,217,69,銀卡,0,1.4,茶飲,0
M0277,女,71,9,9,193,10,銀卡,1,1.2,茶飲,0
M0278,女,45,24,5,250,88,銀卡,0,4.1,咖啡,0
M0279,男,50,27,13,164,5,金卡,1,5.6,咖啡,1
M0280,男,62,5,9,181,3,一般,1,4.6,咖啡,1
M0281,女,62,15,2,115,90,一般,1,2.5,咖啡,0
M0282,女,72,29,14,131,17,金卡,1,5.3,咖啡,0
M0283,女,49,15,7,197,0,銀卡,1,2.8,咖啡,1
M0284,女,46,30,4,152,6,一般,1,1.5,咖啡,1
M0285,女,43,24,13,135,14,金卡,1,3.1,烘焙,1
M0286,男,47,13,2,240,47,一般,0,0.8,烘焙,0
M0287,男,39,4,11,156,0,一般,1,8.3,咖啡,1
M0288,男,37,29,15,196,15,金卡,0,3.2,茶飲,1
M0289,女,54,15,27,165,0,銀卡,1,0.9,茶飲,1
M0290,男,63,1,6,220,57,一般,0,2.7,咖啡,0
M0291,女,42,15,8,196,43,銀卡,1,1.7,咖啡,1
M0292,男,72,15,10,114,13,銀卡,1,4.2,咖啡,1
M0293,女,35,24,20,171,0,金卡,0,1.2,茶飲,1
M0294,女,72,33,7,124,28,銀卡,1,5.1,咖啡,0
M0295,女,72,34,16,181,8,金卡,1,4.4,咖啡,1
M0296,男,58,35,5,171,14,銀卡,1,1.8,烘焙,1
M0297,女,55,36,17,239,4,金卡,0,1.0,烘焙,1
M0298,男,38,26,6,175,8,銀卡,0,2.7,咖啡,0
M0299,女,47,7,3,186,57,一般,1,1.6,茶飲,0
M0300,女,62,35,14,102,8,金卡,1,6.9,咖啡,0
M0301,女,41,12,6,132,83,銀卡,1,2.9,茶飲,0
M0302,男,65,21,3,231,3,一般,1,0.6,茶飲,0
M0303,男,43,17,4,284,52,一般,0,1.2,烘焙,0
M0304,男,56,33,11,177,11,銀卡,1,1.5,咖啡,0
M0305,女,50,25,3,147,7,一般,1,4.3,茶飲,0
M0306,男,39,23,6,133,28,銀卡,1,6.0,咖啡,1
M0307,女,59,33,4,249,90,一般,1,4.4,咖啡,0
M0308,男,47,30,8,197,34,銀卡,0,3.3,咖啡,1
M0309,女,68,22,5,131,24,銀卡,0,3.2,茶飲,1
M0310,女,44,6,9,143,34,銀卡,1,1.7,烘焙,0
M0311,女,51,8,18,169,10,銀卡,0,1.3,咖啡,1
M0312,女,49,7,6,231,2,銀卡,1,0.7,茶飲,1
M0313,女,64,30,20,311,3,金卡,0,2.1,咖啡,1
M0314,女,60,24,14,148,32,金卡,1,1.9,咖啡,1
M0315,男,48,36,5,93,34,銀卡,0,2.2,咖啡,0
M0316,女,41,15,2,234,9,一般,1,1.3,咖啡,0
M0317,男,60,36,3,105,11,一般,1,4.5,烘焙,0
M0318,男,40,15,8,169,1,銀卡,1,5.7,咖啡,1
M0319,男,72,30,3,178,8,一般,0,2.7,茶飲,0
M0320,女,59,16,8,157,9,銀卡,1,4.2,烘焙,1
M0321,女,72,1,7,149,18,一般,1,3.3,烘焙,1
M0322,男,53,17,6,211,86,銀卡,1,7.7,茶飲,0
M0323,男,45,16,16,151,2,銀卡,0,1.3,烘焙,1
M0324,男,39,19,1,220,71,一般,0,0.9,茶飲,0
M0325,女,47,12,11,151,1,銀卡,1,2.9,咖啡,0
M0326,男,46,16,5,325,55,銀卡,0,3.7,咖啡,0
M0327,女,51,36,5,273,47,銀卡,1,1.9,茶飲,0
M0328,女,56,30,1,105,36,一般,0,0.9,咖啡,0
M0329,男,37,35,4,159,13,一般,0,8.0,茶飲,0
M0330,女,72,15,1,143,11,一般,0,9.0,咖啡,0
M0331,男,54,21,3,249,73,一般,0,5.2,茶飲,0
M0332,女,56,7,6,151,21,銀卡,1,2.3,咖啡,0
M0333,女,51,5,4,167,31,一般,1,3.3,咖啡,0
M0334,女,42,12,4,194,55,一般,1,3.4,咖啡,0
M0335,男,47,12,20,242,12,銀卡,1,0.4,烘焙,1
M0336,男,44,1,20,241,4,一般,0,3.9,咖啡,1
M0337,女,66,3,4,120,42,一般,0,3.0,茶飲,0
M0338,男,55,34,9,220,13,銀卡,0,1.5,咖啡,1
M0339,男,72,3,15,175,11,一般,1,5.7,茶飲,1
M0340,女,46,3,2,257,9,一般,0,5.4,茶飲,0
M0341,女,43,11,10,169,16,銀卡,1,2.4,烘焙,0
M0342,男,47,16,6,159,22,銀卡,1,3.5,烘焙,1
M0343,男,68,28,18,167,3,金卡,1,2.6,茶飲,1
M0344,女,71,15,7,243,13,銀卡,1,4.4,咖啡,1
M0345,男,72,28,3,126,19,一般,1,7.1,茶飲,0
M0346,男,56,33,2,133,26,一般,0,6.1,咖啡,0
M0347,女,65,35,13,123,4,金卡,1,2.7,茶飲,1
M0348,男,44,31,7,199,10,銀卡,1,5.8,茶飲,1
M0349,女,63,25,20,213,1,金卡,1,0.9,烘焙,1
M0350,女,48,18,9,177,18,銀卡,0,3.5,茶飲,0
M0351,男,65,13,4,138,7,一般,0,7.4,茶飲,0
M0352,女,72,11,8,188,9,銀卡,0,11.6,咖啡,1
M0353,男,59,28,9,170,1,銀卡,0,2.6,烘焙,0
M0354,女,72,6,6,120,30,銀卡,0,3.0,咖啡,1
M0355,女,58,10,8,220,21,銀卡,1,1.9,咖啡,0
M0356,女,48,9,4,218,6,一般,1,1.3,咖啡,1
M0357,女,63,7,18,193,1,銀卡,1,1.1,茶飲,1
M0358,女,69,1,3,403,32,一般,0,2.9,烘焙,0
M0359,女,48,18,9,172,4,銀卡,0,2.3,咖啡,1
M0360,女,41,26,6,134,18,銀卡,0,6.0,茶飲,0
M0361,男,72,10,3,156,34,一般,0,2.3,茶飲,0
M0362,女,45,31,10,159,10,銀卡,0,2.7,咖啡,1
M0363,女,72,8,5,135,6,銀卡,1,2.0,咖啡,1
M0364,男,37,4,6,171,54,一般,0,3.3,咖啡,0
M0365,男,49,7,12,168,4,銀卡,0,2.3,烘焙,0
M0366,男,72,16,6,157,11,銀卡,0,1.6,茶飲,0
M0367,女,46,23,20,160,9,金卡,1,1.8,烘焙,1
M0368,女,48,5,9,117,6,一般,1,5.0,咖啡,1
M0369,女,59,31,3,169,17,一般,0,4.5,茶飲,0
M0370,女,62,7,1,117,82,一般,1,9.3,烘焙,0
M0371,女,49,3,10,267,5,一般,0,2.9,茶飲,1
M0372,女,41,24,15,249,1,金卡,0,0.7,烘焙,0
M0373,女,44,10,8,131,62,銀卡,1,3.5,咖啡,0
M0374,女,52,30,2,177,16,一般,1,3.6,咖啡,1
M0375,男,68,4,7,125,10,一般,1,6.5,咖啡,1
M0376,男,41,25,2,139,19,一般,1,6.1,咖啡,1
M0377,女,47,29,22,164,10,金卡,1,1.8,烘焙,1
M0378,男,50,17,8,182,22,銀卡,0,1.1,咖啡,0
M0379,女,43,9,6,124,27,銀卡,1,9.3,烘焙,0
M0380,男,72,10,5,207,24,銀卡,0,4.2,茶飲,0
M0381,男,53,21,5,152,30,銀卡,0,4.0,咖啡,0
M0382,女,72,17,4,218,12,一般,1,1.5,咖啡,1
M0383,男,45,30,5,164,49,銀卡,1,1.0,茶飲,1
M0384,女,59,23,3,196,15,一般,1,2.5,咖啡,1
M0385,女,46,34,5,305,36,銀卡,0,2.7,咖啡,1
M0386,女,47,6,12,139,6,銀卡,1,6.1,咖啡,1
M0387,女,72,9,16,234,0,銀卡,1,1.8,咖啡,1
M0388,男,36,13,26,192,5,銀卡,0,1.7,茶飲,1
M0389,男,47,34,1,160,28,一般,0,2.2,烘焙,0
M0390,男,36,12,14,161,2,銀卡,1,2.6,咖啡,1
M0391,女,45,29,15,177,7,金卡,0,2.4,咖啡,1
M0392,男,72,31,10,186,7,銀卡,0,3.4,茶飲,0
M0393,女,52,19,7,185,25,銀卡,1,1.5,咖啡,1
M0394,女,66,35,7,190,20,銀卡,1,3.5,咖啡,1
M0395,女,58,29,8,118,19,銀卡,1,1.7,咖啡,1
M0396,男,51,24,18,208,10,金卡,1,0.5,茶飲,1
M0397,男,39,24,5,167,40,銀卡,1,2.9,烘焙,0
M0398,男,54,26,15,132,0,金卡,1,1.2,咖啡,1
M0399,女,52,6,8,162,7,銀卡,0,2.0,烘焙,1
M0400,女,72,11,7,331,24,銀卡,1,2.6,咖啡,1
M0401,女,56,15,26,179,11,銀卡,1,3.7,茶飲,1
M0402,女,65,10,4,278,31,一般,1,4.4,咖啡,0
M0403,女,66,35,10,182,22,銀卡,0,1.1,咖啡,1
M0404,女,52,26,2,171,55,一般,0,2.6,咖啡,0
M0405,男,44,13,15,117,6,銀卡,1,4.0,茶飲,1
M0406,女,64,21,7,80,3,銀卡,0,5.6,咖啡,0
M0407,男,34,36,4,237,33,一般,0,5.7,烘焙,0
M0408,男,61,23,12,127,81,金卡,0,3.9,茶飲,0
M0409,男,72,21,16,143,2,金卡,1,1.5,茶飲,1
M0410,女,60,32,2,241,21,一般,1,5.0,茶飲,0
M0411,女,55,31,2,258,33,一般,1,2.6,茶飲,1
M0412,女,56,35,11,124,6,銀卡,1,5.3,咖啡,1
M0413,女,46,14,9,216,6,銀卡,1,5.1,烘焙,0
M0414,女,56,7,11,221,6,銀卡,0,1.3,咖啡,0
M0415,女,60,5,9,90,14,一般,1,0.8,咖啡,1
M0416,男,49,15,7,226,32,銀卡,1,1.1,茶飲,0
M0417,女,61,26,15,76,9,金卡,1,7.7,咖啡,1
M0418,男,37,16,14,188,0,銀卡,1,2.4,烘焙,1
M0419,男,64,7,18,248,5,銀卡,1,1.4,咖啡,1
