default,student,balance,income
No,No,807.017063,29985.835533
No,No,5.102985,42646.999085
No,No,998.747934,43704.835535
No,No,903.66575,50904.866145
No,Yes,568.484543,12596.936237
No,No,955.096129,35023.358028
No,Yes,1072.734326,24174.46182
No,No,502.297363,45480.41778
No,No,577.910191,37666.065768
Yes,No,1867.532,58735.360414
No,Yes,761.632148,32142.387839
No,No,1227.840548,32378.04757
No,Yes,906.083086,22140.880647
No,No,1054.213352,47010.296555
No,Yes,1011.895736,21629.130813
No,No,230.641447,39926.903439
No,No,612.768728,27917.067007
Yes,No,1783.02648,38570.1763
No,No,985.298713,40124.443725
No,No,1568.282614,35046.088139
No,Yes,975.320445,13543.878435
No,No,694.975503,44837.555116
No,Yes,1605.384224,8062.407864
No,No,754.499946,33216.301052
No,Yes,414.679751,23627.08193
No,No,232.214172,28104.440984
No,No,544.083064,45404.351511
No,No,826.038653,34216.08848
No,Yes,180.405405,24316.929127
No,No,688.265214,41635.991305
No,No,82.135171,36917.822065
No,No,1106.592248,49939.324351
No,No,685.03602,28313.876203
No,No,826.013503,32089.027296
No,No,555.084188,41027.705566
No,No,0.0,47791.820777
No,Yes,662.499275,18493.293528
No,No,769.570439,30692.244825
Yes,Yes,1843.91393,9710.333327
No,Yes,1118.300246,34202.565927
No,No,0.0,39653.839006
No,Yes,1241.426977,5000.0
No,Yes,832.02959,5296.91961
No,No,493.37433,51308.762503
No,No,1125.752091,48585.589682
No,Yes,205.510768,26742.776446
No,No,0.0,42051.390489
No,No,240.658015,38515.085031
No,Yes,836.799844,33669.153974
No,No,521.118825,56166.825337
No,No,701.477096,59026.792027
No,No,955.869192,14938.232343
No,No,718.705772,31415.475255
No,Yes,992.327529,10814.692007
No,No,661.444781,48827.952476
Yes,Yes,1291.319128,10091.278422
No,No,320.040491,53073.432224
No,Yes,647.657047,20063.945171
No,No,840.141205,40608.010286
No,Yes,1202.941398,28288.391512
Yes,Yes,1859.860432,13821.940934
No,No,436.197908,40593.801269
No,No,1177.080573,34155.179681
No,No,1243.798737,38935.127748
No,No,176.181604,26994.022122
No,No,670.766094,46623.813924
No,No,0.0,58312.923245
Yes,No,1737.628271,44683.022335
No,Yes,1473.099907,37091.318507
No,No,325.037777,44734.404158
No,No,713.771168,47331.390539
No,Yes,124.141341,34825.708591
No,No,1471.657305,24764.313049
No,No,648.674283,56316.688303
Yes,No,1272.757883,57236.768701
No,No,470.437269,40282.209023
No,No,221.281678,18007.026862
No,No,1154.662551,47677.422996
No,Yes,1468.995438,14675.115914
No,Yes,1477.864321,34609.741752
No,No,818.386943,35888.728426
No,Yes,502.950893,5000.0
No,No,828.562701,37867.39564
No,No,811.633299,45983.872217
No,No,1391.619518,22361.70992
No,No,0.0,43648.808529
No,No,730.758949,34669.369374
Yes,Yes,1887.615312,5000.0
No,No,943.411381,48214.290944
No,No,882.790305,16020.347816
No,No,561.692558,43553.182951
No,Yes,628.81704,25890.014393
No,Yes,350.205142,23716.254248
No,No,720.726455,33510.169465
No,No,1504.384114,45303.114911
Yes,No,2258.539381,35269.96261
No,Yes,393.90289,24472.66864
No,No,326.244699,31689.632338
No,Yes,237.872566,9105.027666
No,No,820.015303,40022.571146
No,No,458.321783,58947.002937
No,No,988.872619,43031.947938
No,Yes,1349.064879,5437.619302
No,No,944.519582,30944.034344
No,Yes,1042.966181,18744.287618
No,No,84.258814,39855.678533
No,No,618.813408,29639.395367
No,Yes,1298.621984,23681.252859
No,No,623.497657,26751.341608
No,No,523.414221,45534.916559
No,Yes,4.044986,5000.0
No,No,530.649865,40418.686175
No,No,590.468098,45828.426447
No,No,1173.66038,31871.736208
No,No,879.591897,47870.016992
No,No,1595.212722,49320.13077
No,No,866.645281,53105.481449
No,Yes,425.259805,19447.137742
No,Yes,884.770741,25620.214817
No,No,701.234076,34587.415496
No,Yes,1009.409854,12633.445911
No,Yes,285.276372,21945.321222
No,No,51.50372,45011.766858
No,No,428.422294,21868.396506
No,Yes,1275.140203,26054.582553
No,No,115.129801,35498.457524
No,No,1189.902022,49447.801255
No,No,760.413089,53393.642842
No,Yes,1451.058359,20963.522575
No,No,0.0,51944.324325
No,No,460.711931,58761.596207
No,No,935.504392,38977.495386
No,Yes,794.464251,15309.966091
No,Yes,0.0,10891.822296
No,No,467.039265,49590.863038
No,Yes,743.16043,47069.844764
No,No,801.045091,41859.197135
No,Yes,1277.962905,23297.517742
No,No,239.403068,38160.348835
No,Yes,1026.477428,24664.046364
No,Yes,1004.673681,17459.912795
No,No,1156.934065,41120.514943
No,No,889.294427,47756.79333
No,Yes,1121.514356,13414.960432
No,No,665.654113,30047.042662
No,No,965.35142,22154.355488
No,No,785.708368,31440.107342
No,Yes,1250.631191,15184.477971
No,No,2018.842259,44584.962698
No,No,1031.425269,33528.217394
No,No,652.011309,38856.694678
No,No,1147.197792,36319.886274
No,No,1139.912294,41080.955517
No,No,1263.473432,48409.981804
No,No,923.642406,55303.618489
No,No,746.371971,38212.233727
No,Yes,1348.772572,35698.597559
No,Yes,1062.680001,33097.963376
No,Yes,341.432692,46124.558961
No,No,783.583855,35977.585728
No,Yes,1652.871689,5000.0
No,No,164.224202,56358.207913
No,No,695.045218,39547.982611
No,Yes,976.053561,14466.603242
No,No,974.93865,56725.919706
No,No,87.208464,38304.151684
No,No,891.16369,37987.044546
No,No,739.323022,59312.846361
No,No,1024.090187,35099.923222
No,No,683.679207,36134.13884
No,No,540.532121,49491.502457
No,No,1562.805381,36108.233413
No,No,107.749444,40997.929488
No,No,678.334377,35134.978944
No,Yes,244.996051,16689.038967
No,No,1601.719076,45248.842429
No,No,341.217329,53545.019926
No,No,683.174162,50634.027783
No,Yes,527.974545,35334.114503
Yes,No,1243.032207,48607.82375
No,No,722.604659,36768.259549
No,No,751.358235,35061.624975
No,No,576.176352,41617.223734
No,Yes,1177.521499,30692.116906
No,Yes,813.479761,25020.829503
Yes,Yes,1826.605924,36519.335916
No,Yes,1021.269246,26617.505077
No,No,851.753191,42648.614558
No,Yes,616.076835,5000.0
No,No,1324.647809,45948.152909
No,No,1353.974872,38892.965236
No,No,927.487448,22727.174751
No,Yes,1226.890667,34686.754395
No,Yes,718.27005,11573.724927
No,No,1252.033183,46312.273331
No,No,781.998484,48027.51782
No,No,712.538624,34944.266058
No,Yes,1087.601932,5000.0
No,No,838.304538,52989.192045
No,No,1745.392098,45742.357026
No,Yes,1184.311992,16274.695213
No,No,405.994325,49467.552117
No,No,415.624946,32753.366624
No,No,1029.625469,38797.58934
No,No,1183.558639,25373.268189
No,No,1248.756596,60377.797199
No,Yes,1367.408789,20379.257517
Yes,No,1756.979345,35820.498815
No,No,1372.333007,33798.585361
No,No,559.971081,30355.174854
No,No,447.665877,30225.326008
No,Yes,1235.130596,11243.621937
No,No,532.810613,43696.833909
No,Yes,859.334123,29189.96402
No,Yes,1388.857943,14741.007575
No,No,1083.225175,43455.549307
Yes,Yes,1216.941376,20736.812747
No,Yes,1586.83849,14513.495972
No,No,140.96315,28385.208339
Yes,No,1967.16938,54791.789867
No,No,836.924912,58196.57496
No,No,423.825158,54035.349149
No,No,1925.114246,55889.95867
No,No,976.556137,45756.477566
No,No,691.780003,29934.249407
No,Yes,984.80575,27010.010648
No,Yes,641.190985,17490.035844
No,No,591.36966,38201.812739
No,Yes,265.249683,18387.370494
No,No,1040.758475,45792.110695
No,No,63.852681,30394.163938
No,Yes,280.421563,25446.398166
No,No,1509.824488,33104.143875
No,No,1650.697027,48406.830538
No,No,46.480096,44051.788783
No,Yes,575.643701,5000.0
No,Yes,1457.250213,23613.890463
No,No,0.0,55061.707619
No,No,403.936255,38374.817609
No,No,1820.283505,41188.593832
No,No,1370.310208,48804.249544
Yes,No,2112.999055,17434.1909
No,Yes,360.615276,38958.794815
No,No,648.79162,38114.383483
No,Yes,34.077105,15183.768271
No,Yes,1544.912409,5000.0
No,Yes,1093.483392,32151.987076
No,No,45.305445,36820.792325
No,No,690.389513,37488.470466
No,No,107.172309,38454.969687
No,No,765.269788,59923.439174
No,No,708.512278,65736.842907
No,No,400.182316,33713.963319
No,Yes,1893.114967,16567.48328
No,Yes,1042.488276,18226.743097
No,Yes,792.854527,18160.408174
No,No,821.769919,28194.79761
No,No,827.607362,41696.894043
No,No,650.809652,44788.082316
No,No,0.0,50059.21454
No,No,704.726527,43913.751623
No,Yes,925.462993,5000.0
No,No,219.343927,50544.591005
No,Yes,1129.619851,10902.467736
No,Yes,1375.029196,39875.561396
No,Yes,1102.266971,30969.92255
Yes,No,1245.090592,34908.581466
No,No,874.463018,37849.547591
Yes,No,1522.110378,56134.214358
No,No,717.729481,39403.611453
No,No,438.117462,27856.481615
No,No,830.213561,37678.107861
No,No,356.359965,35178.884547
No,No,689.418654,47490.11951
No,No,342.443163,50945.957617
No,Yes,870.260447,13430.108022
No,Yes,748.92576,25623.074986
No,No,270.902163,22845.504325
No,No,56.946025,45649.844751
No,No,1179.77492,47499.436684
No,Yes,584.000085,22460.133348
No,No,6.877222,33308.331086
No,Yes,615.146232,21471.865318
No,Yes,1399.39064,20773.2163
No,Yes,256.576375,26921.028982
No,No,1124.081102,40930.834342
No,No,0.0,15064.391485
No,Yes,982.969725,22270.887381
No,No,430.461328,48625.587882
No,No,103.27043,54183.760317
No,Yes,759.250765,6707.514899
No,No,66.438439,44394.680768
No,Yes,1423.973202,10550.859373
No,No,692.304712,48537.361057
No,Yes,679.569025,23260.816545
Yes,No,1589.977077,26626.967944
No,No,505.609762,38129.05267
No,No,336.745092,54213.64882
No,No,577.187803,39068.995503
No,No,1042.335444,23014.245647
No,Yes,444.046986,31158.391972
No,Yes,1508.054597,5000.0
No,Yes,495.851097,29400.609523
No,No,0.0,40191.110309
No,Yes,1175.420317,19729.903754
No,Yes,519.632941,35470.25319
No,Yes,443.703954,10689.76394
No,No,903.215718,37462.836226
Yes,Yes,1807.736435,50503.431582
No,Yes,867.061787,30762.68906
No,No,678.410409,30605.411605
No,No,1109.697716,50643.655458
No,No,1189.568121,35554.120748
No,Yes,1273.968368,18029.821369
No,Yes,0.0,26134.748585
No,No,603.847605,38707.446654
No,Yes,597.150908,13375.50313
No,Yes,956.19521,22930.640028
No,No,1232.986889,43328.544709
No,No,569.373013,43235.119967
Yes,No,1623.336847,27642.672836
No,No,1233.338627,50554.019761
No,No,448.510535,44198.334996
No,No,425.915754,42040.267821
No,Yes,345.380665,42004.097107
No,No,460.715551,54152.525246
No,No,1622.71329,31069.128811
No,Yes,1406.131181,12069.767405
No,No,839.560971,34008.559586
No,No,425.389051,47966.049763
Yes,No,1650.409583,49342.870043
No,No,72.862106,37700.072768
No,Yes,1036.282247,16906.03221
No,No,708.794569,57468.912293
No,No,1166.126154,24977.110456
No,No,432.846595,35369.203323
No,No,1249.93629,49393.747784
No,Yes,1078.308788,5000.0
No,Yes,460.553914,10879.900567
No,No,807.351459,34698.848788
No,No,795.899319,32925.370993
No,Yes,1137.354244,23699.87415
No,No,1369.30198,33704.63577
No,Yes,699.202521,18088.654943
No,Yes,914.304752,19359.376204
No,No,1752.246362,33121.637372
No,No,1437.581525,42439.509642
No,No,886.092321,53751.137919
No,No,515.928822,42741.797841
No,No,1204.561802,22009.919636
No,Yes,647.679432,18565.157984
No,Yes,1058.748158,25700.115109
No,No,858.734619,34711.543593
No,Yes,1150.547321,17079.9444
No,No,585.562196,41719.49608
No,No,170.701855,30169.945807
No,Yes,391.884829,15845.943836
No,No,33.897202,28904.751745
No,No,578.045404,41377.037448
No,No,1228.100136,46505.752624
Yes,No,1384.785072,34217.20257
No,No,876.327088,42935.135562
No,No,1239.117115,43941.591826
No,Yes,277.474664,25595.898578
No,No,355.094827,36735.603885
No,No,728.177302,45724.30992
No,No,690.507775,49856.472993
No,Yes,1184.615089,17652.86538
No,Yes,1874.621621,33822.238567
No,No,197.002461,20481.418372
No,No,824.708473,30344.481314
No,No,536.500178,52350.001525
No,No,404.849099,58119.808235
No,Yes,1217.892819,5000.0
No,No,601.544253,26684.704264
No,Yes,570.665166,30109.102087
No,No,1283.748501,52748.460975
No,Yes,546.758748,26619.770941
No,No,812.85897,38114.971525
No,No,230.724671,30901.845095
No,No,690.114741,50828.881805
No,No,998.042186,41233.703401
No,No,1300.66765,43210.927705
No,Yes,1030.191774,22344.764392
No,No,706.939289,34357.348025
No,No,570.299488,39664.212771
No,No,670.402142,45611.518164
No,Yes,615.331422,9173.956635
No,No,255.379393,18881.281553
No,Yes,895.755899,5000.0
No,Yes,970.357301,20766.976928
No,No,1271.826176,51724.972302
No,No,1469.087328,26720.143936
No,No,776.154874,35782.364776
No,No,1350.26392,23902.798873
No,No,941.349504,33038.93293
No,Yes,1008.834701,16404.001149
No,No,77.211672,46402.060276
No,No,743.032409,43737.604654
No,Yes,732.107484,13803.697331
No,No,483.881591,43754.407743
No,No,0.0,50456.157878
No,No,727.729737,23993.796071
No,No,682.279068,26005.894721
No,No,943.990261,56432.527101
No,Yes,1012.917556,36381.803928
No,Yes,700.208258,17990.886219
No,No,0.0,54327.334433
No,Yes,227.116856,16080.91559
No,No,542.454542,42927.147754
No,Yes,1142.95175,14620.626734
No,Yes,1042.808429,5000.0
Yes,Yes,1013.37718,13054.422108
No,No,727.107571,47535.42994
No,No,394.359862,60657.849697
No,Yes,946.265319,15806.308934
No,No,775.652522,38129.256766
No,No,902.10797,49613.743379
No,No,611.748341,46983.384314
No,No,1107.426606,44468.187752
No,No,459.680763,53323.724994
No,Yes,908.42101,20307.649592
No,No,1057.85857,36213.33754
No,No,403.136945,38466.870699
No,No,171.50783,64676.20388
No,No,1000.814369,41108.147702
No,Yes,0.0,23398.886454
No,No,777.607086,38088.071765
No,No,911.314844,38206.755632
No,No,0.0,39847.375937
No,Yes,1749.673686,18259.479607
No,Yes,1290.414133,26142.990628
No,No,824.365388,39780.150102
No,No,601.666704,34384.150205
No,No,540.346687,46493.029085
No,Yes,660.245307,11903.320314
No,No,867.442783,44613.931104
Yes,Yes,1887.156846,7423.852728
No,No,529.764436,43775.308416
No,No,1192.643814,38209.656583
No,Yes,1543.482689,22717.834347
No,Yes,431.332325,17138.319916
No,Yes,1629.039875,45570.965849
No,No,239.639274,56920.531937
No,No,516.865444,31691.263622
No,No,608.552102,49733.979116
No,No,1561.369058,34738.60862
No,Yes,1556.041572,37238.000885
No,Yes,393.896645,22749.569706
No,No,146.535343,30486.938591
No,No,501.873983,32698.934782
No,No,875.016713,54961.352085
No,Yes,294.194458,13198.843185
No,No,470.956035,42271.606769
No,No,418.385051,28536.896194
No,Yes,1146.624417,26130.515606
No,Yes,1027.116511,22172.098173
No,No,1473.181746,43202.01349
No,Yes,1157.129717,28504.658205
No,Yes,1184.612073,31326.867189
No,Yes,963.203489,24089.157186
No,No,548.779596,33579.082617
No,Yes,1015.294905,23872.633363
No,No,428.530424,35423.520748
No,Yes,802.011074,23053.496615
No,No,1182.775976,49639.205735
No,Yes,1512.214605,32551.220287
No,No,827.202023,33305.306455
No,Yes,715.167446,17843.278206
No,No,655.923625,28464.291848
No,No,1374.660342,41822.593499
No,Yes,1811.300824,46217.248753
No,Yes,1170.932614,13707.649229
No,No,1399.519578,47470.589411
No,No,975.805015,43341.520614
No,No,996.187305,51214.337703
No,Yes,860.816611,29238.266401
No,No,330.827196,52816.321558
No,No,530.441089,41504.892329
No,No,581.94345,43672.198799
No,Yes,337.03362,17640.705302
No,Yes,683.618991,31076.584576
No,No,1167.272002,45992.039306
No,Yes,1272.002955,30135.653576
No,No,1052.1801,41728.755497
No,No,847.91895,32661.085286
No,No,735.927383,45617.471143
No,No,738.567224,45194.423411
No,Yes,1115.057781,14876.30156
No,Yes,1015.128045,27216.100509
No,No,578.916442,42686.922263
No,No,531.412358,31988.263492
No,No,1671.046358,35216.652441
No,No,287.97072,70081.276076
No,No,311.931069,41726.113997
No,No,339.975297,41859.828029
No,No,633.166713,33416.14865
No,Yes,1386.326729,32571.439863
No,Yes,710.939749,7519.911552
No,Yes,996.808994,15540.150448
No,No,154.188255,41596.663687
No,No,782.25212,46066.733537
No,No,342.249952,36573.59131
No,No,743.033732,50040.746526
No,No,1303.945523,53175.776629
No,Yes,196.320879,12335.67403
No,No,311.879536,38942.718248
No,No,1008.722806,50849.236513
No,No,984.528759,44833.553185
No,Yes,967.112524,9450.255416
No,No,1226.268764,69340.217829
No,No,1235.991533,51911.08388
No,No,251.177809,48971.049962
No,Yes,932.573962,11217.641623
No,No,50.731358,33107.794357
No,No,233.167872,37805.101202
No,No,1121.728762,45736.236297
No,No,646.506043,32096.06951
No,No,38.40007,52756.626885
No,No,1127.837738,73370.026686
Yes,Yes,1548.547936,8459.130407
No,No,553.358483,38805.534343
No,Yes,512.059314,28689.529762
No,Yes,368.948741,25594.28734
No,No,1025.540868,55161.869979
No,Yes,378.903098,26695.835092
No,No,931.59001,49005.428537
No,Yes,1145.374219,27849.172499
No,No,558.973426,59375.396196
No,Yes,780.9344,17708.795229
No,Yes,1491.180707,34122.490866
No,Yes,481.45968,22511.408886
No,No,711.926603,57694.671504
No,No,954.994992,40434.951183
No,Yes,966.599021,9716.833189
No,No,723.310086,37675.539799
No,No,0.0,46296.839738
No,No,1347.197259,46257.635357
No,No,982.883501,24289.415022
No,No,668.628088,31296.538156
No,Yes,1205.002408,15130.974228
No,No,314.062249,41400.900977
No,Yes,737.436745,38871.167672
No,Yes,753.006785,11651.175055
No,Yes,883.453296,30157.043214
No,No,309.840915,45362.003971
No,No,1456.891385,29934.456431
No,No,1049.315827,31789.012691
No,No,784.667151,55454.453305
No,No,803.704552,48129.168248
No,No,142.9159,53202.198377
No,Yes,1124.379326,28821.848834
No,Yes,1389.49942,22335.855065
No,No,617.92956,43527.213333
No,No,404.178326,41016.960946
No,Yes,924.252981,30200.264677
No,No,766.419573,52877.492663
No,No,982.539108,42963.720309
No,No,629.417131,59500.228255
No,No,1053.356609,25775.517783
No,No,1084.346821,55716.07467
No,No,898.906059,52833.282382
No,No,462.528805,30570.207278
No,No,438.089259,37554.326828
No,No,291.5718,54639.702297
No,No,226.638583,43555.758232
No,Yes,1357.790691,26212.652733
No,No,771.151382,50200.062172
No,Yes,1689.44145,30978.491998
No,No,950.631401,40702.765893
No,No,0.0,40297.948921
No,Yes,457.351343,16720.76748
No,No,989.008634,54568.058856
No,Yes,950.101556,29301.578476
No,No,1175.027477,25420.427787
No,No,654.578761,41588.026547
No,No,773.549205,46707.365844
No,Yes,484.041323,32802.4368
No,Yes,1147.139642,18124.326411
No,No,1132.764635,34409.035237
No,Yes,739.472221,26787.051535
No,Yes,408.546015,8161.787503
Yes,Yes,1634.329246,25488.543338
No,No,289.156642,52261.070061
Yes,No,1669.694371,30711.636987
No,No,973.347044,57290.037668
No,Yes,1201.398097,19195.817259
No,Yes,1152.037065,21064.221353
No,No,1179.259345,23629.267723
No,Yes,236.676379,33330.266261
No,No,1164.450456,44347.889867
No,No,166.250043,48106.412082
No,No,1626.258646,51244.934549
No,No,286.375136,25743.379962
No,No,692.642821,53053.459698
No,No,0.0,47185.676952
No,No,759.551527,51372.429325
No,No,737.988644,32523.033085
No,No,209.406478,42410.31436
No,No,161.350986,36720.339036
No,No,752.856179,36155.98785
No,Yes,1174.477802,21621.657561
No,No,496.765882,37348.914096
No,No,938.933766,44171.952736
No,No,872.686033,67329.217843
No,No,943.181532,25475.68711
No,No,570.287512,43666.258707
No,No,715.509327,38246.990515
No,Yes,921.060436,5000.0
No,No,562.89794,28340.313188
No,No,872.644349,39766.427882
No,Yes,1653.500367,17151.96182
No,No,1519.445835,32884.561665
No,No,944.33361,39918.235858
No,No,1020.763084,32873.809132
No,No,360.07143,66054.132529
No,No,804.423061,24144.068104
No,Yes,316.965264,16118.814106
No,No,639.004997,54355.48771
No,Yes,1832.931925,13042.352565
No,No,766.789292,56838.707699
No,Yes,506.35549,17867.524218
No,No,758.059064,42635.444486
No,Yes,360.37491,29640.515947
No,Yes,773.37674,33107.85232
No,No,733.338669,46965.802918
No,Yes,968.623687,17349.040766
No,No,282.889624,37459.245441
No,Yes,647.738765,17391.873211
No,No,884.212706,37757.264716
No,Yes,1396.26716,18855.26516
No,No,882.994188,32145.427172
No,No,1067.977336,56228.240459
No,No,321.531045,43579.002905
No,No,388.247156,28154.223496
No,No,322.512841,50135.722434
No,Yes,781.343652,5000.0
No,No,708.536091,38057.529503
No,No,647.133269,57632.950252
No,No,1148.230255,47858.833865
No,Yes,1342.898947,10429.111659
No,No,232.898088,45770.971086
No,No,1079.648468,41193.170846
No,Yes,1068.990047,11728.74058
No,No,675.138206,45311.841183
No,No,514.508962,58525.661818
No,No,1025.523051,37432.452562
No,Yes,1146.822947,24036.756376
No,No,400.844686,34307.756862
No,No,1707.025364,37222.079421
No,No,490.472857,49048.4331
No,Yes,1167.968457,17216.855919
No,No,181.689064,42729.672648
No,No,624.88377,28280.237096
No,Yes,652.62368,16396.221981
No,No,1483.453004,28168.003023
No,No,248.060367,45008.407825
No,Yes,806.628981,8206.668609
No,No,849.469642,34267.340201
No,Yes,1147.27776,26907.098114
No,Yes,1451.443068,25089.556421
No,No,473.051323,36721.205404
No,No,314.161406,59153.700582
No,No,920.363356,38845.072764
No,Yes,1107.799727,14356.022198
No,No,105.074478,40976.664801
No,No,1360.356472,56301.058566
No,Yes,732.654152,26404.124876
No,No,600.961928,64257.752162
No,No,1055.70376,41336.184995
No,No,681.292973,62638.542649
No,Yes,1236.422441,37175.786496
No,No,1238.156933,33225.619096
Yes,No,1742.007444,24897.022031
No,No,272.749376,44305.524322
No,No,997.893255,49436.363152
No,Yes,117.603767,40988.59201
No,No,0.0,46890.372
No,No,0.0,59868.861631
No,No,1408.49667,47742.913853
No,Yes,971.928724,21520.234903
No,Yes,1592.385725,19585.244362
No,Yes,817.206247,25612.221641
No,No,567.161984,40765.547789
No,Yes,891.321615,15697.297544
No,Yes,231.393991,12376.729569
No,No,410.960794,37583.109334
No,No,396.141587,45948.673568
No,No,483.049569,45035.223255
No,Yes,760.735533,28508.372405
No,No,623.570567,50454.131478
No,No,1079.856912,49351.555325
No,No,844.954684,35831.90792
No,No,632.366523,55641.686885
No,No,163.223012,42325.206369
No,No,951.889733,49282.401595
No,No,815.539587,44723.100619
No,No,1048.556956,41048.820539
No,Yes,754.579156,19603.677793
No,No,56.884584,37981.77438
No,No,590.019067,31027.117087
No,No,377.926743,53307.646469
No,No,1073.272848,36538.426278
No,No,1215.021779,47321.748597
No,No,962.338631,44420.076763
Yes,No,2249.205391,20216.380209
No,No,1127.204951,28694.496
No,Yes,0.0,17422.875345
No,Yes,565.675614,21091.24524
No,No,529.331066,33259.006448
No,Yes,587.172549,18038.465602
No,No,768.034496,35810.673281
No,No,168.867386,36092.046195
No,No,1006.849186,33160.290643
No,No,1009.550381,30668.217057
No,No,721.99875,46893.437845
No,Yes,982.475377,14314.663732
No,No,512.532414,54965.826371
No,Yes,982.434833,5000.0
No,Yes,1055.55961,5000.0
No,No,568.036882,38450.016959
No,No,804.753484,53393.205743
No,Yes,603.758779,30019.287089
No,Yes,1497.579519,23466.985853
No,No,1029.224593,42210.594168
No,No,415.344806,36618.03778
No,No,1370.696569,23769.010912
No,Yes,835.649437,15493.196161
No,No,1049.795149,47858.711836
No,No,959.316468,44828.523368
No,No,818.236659,39808.835977
No,Yes,1667.821313,17787.65617
No,No,1392.240893,32797.689077
Yes,Yes,1475.885144,18000.209787
No,Yes,1553.939628,24029.758779
No,Yes,826.87577,36204.402581
No,Yes,876.133314,25974.267603
No,No,1600.066751,43309.855341
No,No,736.955417,41967.60342
No,No,948.046671,44869.533413
No,No,466.669037,44484.223416
No,Yes,1619.340446,5438.703148
No,Yes,607.040524,6545.713325
No,No,1097.194871,46823.275953
No,No,975.41634,29392.521726
No,No,335.852575,36761.748935
Yes,No,1944.140464,44857.017079
Yes,Yes,1742.035579,11993.749248
No,No,754.440856,24031.414091
No,No,1158.427182,42517.700949
No,No,867.868413,23780.45063
No,No,185.883553,42484.90465
No,Yes,880.419382,5000.0
No,Yes,457.757647,5000.0
No,No,43.337628,34206.720122
No,No,905.726585,52043.567431
No,Yes,540.565986,5000.0
No,No,971.58832,29099.267821
No,No,830.026104,46959.626963
